q0p0;q0p1;q0p2;q1p0;q1p1;q1p2;s[0, 3];s[0, 4];s[0, 5];s[1, 3];s[1, 4];s[1, 5];s[2, 3];s[2, 4];s[2, 5];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8
32;42;15;27;16;22;41;44;35;51;49;54;29;20;29;20;29;29;35;41;44;49;51;54
43;41;3;40;14;36;79;44;79;80;50;71;39;-3;31;-3;31;39;44;50;71;79;79;80
18;47;16;6;5;26;15;19;44;47;48;59;20;7;38;7;15;19;20;38;44;47;48;59
34;43;1;39;36;0;58;60;16;72;74;36;28;20;-17;-17;16;20;28;36;58;60;72;74
5;32;45;37;18;20;25;23;13;64;37;44;80;56;52;13;23;25;37;44;52;56;64;80
13;27;13;43;27;0;53;26;-7;65;46;13;48;20;-6;-7;-6;13;20;26;46;48;53;65
0;25;3;26;24;20;12;14;0;45;34;26;14;16;19;0;12;14;14;16;19;26;34;45
42;15;44;28;37;1;60;64;37;23;37;4;71;61;32;4;23;32;37;37;60;61;64;71
41;9;14;49;7;37;84;31;66;58;3;42;51;2;44;2;3;31;42;44;51;58;66;84
37;18;24;6;33;41;33;51;75;20;33;56;23;40;58;20;23;33;33;40;51;56;58;75
15;45;39;15;12;38;15;12;47;50;46;74;45;38;69;12;15;38;45;46;47;50;69;74
11;12;25;11;14;36;15;21;40;11;14;48;27;37;54;11;14;15;21;27;37;40;48;54
7;42;16;45;44;35;41;48;24;80;73;61;47;50;35;24;35;41;47;48;50;61;73;80
29;27;28;0;24;44;24;50;61;9;46;61;9;48;52;9;9;24;46;48;50;52;61;61
23;7;3;9;32;36;17;35;57;16;19;34;3;30;38;3;16;17;19;30;34;35;38;57
5;35;42;2;25;3;-6;17;-2;36;46;28;26;67;30;-6;-2;17;26;28;30;36;46;67
47;8;11;0;42;40;44;77;67;-1;35;38;-4;45;50;-4;-1;35;38;44;45;50;67;77
11;0;45;28;36;13;38;47;22;18;35;5;59;68;47;5;18;22;35;38;47;47;59;68
45;20;41;40;21;34;68;48;68;47;25;41;61;54;71;25;41;47;48;54;61;68;68;71
2;49;37;39;15;26;29;-1;28;74;56;70;74;41;53;-1;28;29;41;53;56;70;74;74
32;49;35;46;15;15;72;34;35;88;47;46;70;30;40;30;34;35;40;46;47;70;72;88
19;25;28;27;49;19;32;56;20;52;58;28;47;59;32;20;28;32;32;47;52;56;58;59
44;6;23;15;36;12;48;72;45;15;25;18;19;46;21;15;18;19;21;25;45;46;48;72
33;18;35;26;12;12;39;27;29;35;19;15;50;46;28;15;19;27;28;29;35;39;46;50
16;6;46;42;31;34;58;33;32;36;25;39;69;75;61;25;32;33;36;39;58;61;69;75
25;16;30;4;38;20;22;58;45;4;54;31;29;52;44;4;22;29;31;44;45;52;54;58
13;25;2;23;8;38;31;15;34;46;24;43;18;-7;30;-7;15;18;24;30;31;34;43;46
43;32;26;34;47;49;77;74;77;53;66;68;59;58;63;53;58;59;63;66;68;74;77;77
30;4;3;15;10;13;31;35;39;4;1;12;9;13;4;1;4;4;9;12;13;31;35;39
22;33;10;26;31;9;35;47;24;40;62;42;23;24;7;7;23;24;24;35;40;42;47;62
20;27;10;17;9;31;23;21;40;25;31;54;14;6;29;6;14;21;23;25;29;31;40;54
16;10;35;9;0;43;16;15;50;18;-1;45;41;26;64;-1;15;16;18;26;41;45;50;64
30;0;5;9;29;21;23;54;33;6;24;8;10;27;22;6;8;10;22;23;24;27;33;54
23;35;20;45;23;46;56;26;58;65;47;72;58;24;57;24;26;47;56;57;58;58;65;72
47;37;22;42;2;37;70;35;79;73;31;74;44;17;57;17;31;35;44;57;70;73;74;79
26;46;19;6;45;9;22;69;17;32;85;50;24;60;11;11;17;22;24;32;50;60;69;85
6;24;15;0;6;23;-12;-4;13;16;20;33;-1;1;22;-12;-4;-1;1;13;16;20;22;33
36;4;34;4;12;40;36;37;71;-1;-2;34;31;28;73;-2;-1;28;31;34;36;37;71;73
23;34;1;17;6;26;31;25;33;47;31;58;17;-3;25;-3;17;25;25;31;31;33;47;58
39;2;28;48;38;44;72;70;71;39;22;28;67;58;64;22;28;39;58;64;67;70;71;72
28;30;20;3;40;1;11;61;24;24;68;24;9;45;8;8;9;11;24;24;24;45;61;68
34;27;7;29;44;40;56;74;65;39;67;54;30;41;30;30;30;39;41;54;56;65;67;74
32;32;41;42;14;41;68;26;53;73;35;72;76;48;66;26;35;48;53;66;68;72;73;76
33;38;12;8;44;33;33;76;54;40;78;59;10;51;33;10;33;33;40;51;54;59;76;78
23;32;18;3;26;4;21;49;24;33;54;35;15;25;16;15;16;21;24;25;33;35;49;54
20;29;22;13;35;7;17;36;18;42;53;18;33;46;27;17;18;18;27;33;36;42;46;53
31;45;13;6;26;28;27;39;46;32;53;69;16;39;23;16;23;27;32;39;39;46;53;69
2;26;44;14;27;33;3;12;24;24;33;59;47;68;70;3;12;24;24;33;47;59;68;70
34;12;16;45;42;41;70;61;64;37;53;43;61;51;50;37;43;50;51;53;61;61;64;70
27;21;28;41;43;44;65;67;55;42;59;58;50;69;64;42;50;55;58;59;64;65;67;69
22;38;41;40;0;19;42;18;34;67;20;44;79;23;47;18;20;23;34;42;44;47;67;79
16;41;38;10;44;8;13;58;7;47;81;29;37;62;34;7;13;29;34;37;47;58;62;81
38;7;2;22;35;14;53;69;41;18;41;1;7;18;6;1;6;7;18;18;41;41;53;69
5;18;19;30;38;44;15;23;37;43;46;58;39;49;63;15;23;37;39;43;46;49;58;63
14;48;10;3;35;9;12;36;17;36;68;50;-1;38;8;-1;8;12;17;36;36;38;50;68
22;2;22;8;21;23;12;43;30;7;3;5;20;28;28;3;5;7;12;20;28;28;30;43
48;8;37;7;46;14;40;79;51;-3;52;11;35;70;40;-3;11;35;40;40;51;52;70;79
20;14;22;23;9;6;27;21;19;19;16;18;30;15;20;15;16;18;19;19;20;21;27;30
5;18;47;0;21;14;-5;6;2;2;20;28;36;50;41;-5;2;2;6;20;28;36;41;50
11;18;1;21;1;18;26;2;29;24;-1;24;7;-8;14;-8;-1;2;7;14;24;24;26;29
36;44;7;19;47;32;50;69;57;45;79;64;24;38;26;24;26;38;45;50;57;64;69;79
24;42;33;29;14;4;52;20;13;60;48;34;57;34;17;13;17;20;34;34;48;52;57;60
4;31;15;47;7;45;42;0;40;62;35;65;46;15;46;0;15;35;40;42;46;46;62;65
8;8;2;15;6;3;8;5;2;12;9;-7;11;6;-3;-7;-3;2;5;6;8;9;11;12
17;25;32;28;41;6;25;53;11;41;46;29;41;65;29;11;25;29;29;41;41;46;53;65
15;41;31;7;43;19;4;40;21;46;81;47;30;59;30;4;21;30;30;40;46;47;59;81
1;19;41;10;23;48;-8;19;42;20;27;66;46;45;79;-8;19;20;27;42;45;46;66;79
23;15;46;21;24;22;32;30;38;16;20;35;62;50;63;16;20;30;32;35;38;50;62;63
36;28;12;46;27;25;64;52;52;67;50;50;41;38;34;34;38;41;50;50;52;52;64;67
42;33;26;26;42;32;57;64;58;46;68;53;52;50;58;46;50;52;53;57;58;58;64;68
4;2;43;46;49;6;31;52;-7;40;40;4;81;90;36;-7;4;31;36;40;40;52;81;90
20;29;2;45;24;41;54;31;48;71;45;67;38;14;27;14;27;31;38;45;48;54;67;71
34;33;16;9;33;14;38;67;44;37;63;30;22;42;22;22;22;30;37;38;42;44;63;67
46;35;47;28;29;1;72;73;41;52;47;22;57;65;44;22;41;44;47;52;57;65;72;73
16;20;24;6;19;4;17;27;20;18;38;20;16;31;15;15;16;17;18;20;20;27;31;38
49;6;18;35;34;27;81;78;63;26;33;17;50;49;31;17;26;31;33;49;50;63;78;81
35;21;18;42;35;2;65;64;27;62;45;5;49;52;1;1;5;27;45;49;52;62;64;65
38;12;8;10;43;34;28;68;52;12;35;33;5;50;30;5;12;28;30;33;35;50;52;68
14;24;29;20;42;37;26;42;46;29;61;44;41;60;48;26;29;41;42;44;46;48;60;61
48;22;31;20;25;13;50;60;48;26;34;15;48;52;35;15;26;34;35;48;48;50;52;60
21;0;31;38;21;37;56;29;53;28;8;31;57;37;54;8;28;29;31;37;53;54;56;57
32;13;49;7;4;14;25;24;43;15;14;22;48;41;62;14;15;22;24;25;41;43;48;62
44;38;32;25;20;37;65;44;74;49;49;72;45;42;66;42;44;45;49;49;65;66;72;74
45;25;48;11;49;2;44;85;47;17;70;11;45;78;44;11;17;44;44;45;47;70;78;85
32;14;13;18;37;42;39;55;68;27;37;42;11;33;35;11;27;33;35;37;39;42;55;68
23;1;5;24;15;36;41;22;53;22;-2;26;23;8;32;-2;8;22;22;23;26;32;41;53
33;21;21;29;43;1;44;73;25;47;56;3;47;44;2;2;3;25;44;44;47;47;56;73
35;40;1;11;15;30;26;33;46;49;51;69;12;6;21;6;12;21;26;33;46;49;51;69
8;14;14;49;10;1;44;-1;2;56;4;9;60;14;14;-1;2;4;9;14;14;44;56;60
46;9;39;40;40;43;84;71;78;45;30;38;79;63;72;30;38;45;63;71;72;78;79;84
11;22;36;11;24;25;17;28;18;14;27;44;45;57;53;14;17;18;27;28;44;45;53;57
14;32;38;3;36;39;-1;44;42;24;63;64;40;56;73;-1;24;40;42;44;56;63;64;73
42;27;28;36;12;24;71;53;51;50;36;36;63;29;37;29;36;36;37;50;51;53;63;71
28;29;2;38;8;15;49;32;36;67;27;26;40;8;0;0;8;26;27;32;36;40;49;67
2;28;34;22;39;30;13;21;32;42;55;57;49;59;52;13;21;32;42;49;52;55;57;59
2;10;24;19;28;27;8;12;17;16;21;37;37;52;31;8;12;16;17;21;31;37;37;52
16;15;3;30;19;24;36;18;21;36;32;34;32;17;13;13;17;18;21;32;32;34;36;36
12;22;16;41;36;14;44;46;23;58;55;27;56;44;27;23;27;27;44;44;46;55;56;58
48;16;19;33;32;11;80;70;57;43;35;8;32;35;22;8;22;32;35;35;43;57;70;80
48;34;45;40;13;28;79;42;66;74;31;47;66;39;60;31;39;42;47;60;66;66;74;79
6;2;49;46;9;8;35;6;11;43;10;-3;81;56;55;-3;6;10;11;35;43;55;56;81
5;27;15;1;32;19;-12;33;7;16;45;43;12;34;18;-12;7;12;16;18;33;34;43;45
27;45;42;15;29;48;40;53;62;59;55;75;47;51;79;40;47;51;53;55;59;62;75;79
36;23;4;6;46;48;40;72;71;15;68;68;1;33;47;1;15;33;40;47;68;68;71;72
16;46;40;49;41;14;59;54;21;83;67;41;88;70;44;21;41;44;54;59;67;70;83;88
41;43;12;16;26;47;39;61;69;53;54;86;17;22;41;17;22;39;41;53;54;61;69;86
21;32;9;7;2;4;22;18;25;27;19;22;2;0;7;0;2;7;18;19;22;22;25;27
27;44;27;0;4;30;11;27;42;42;36;55;26;22;50;11;22;26;27;36;42;42;50;55
15;30;27;8;35;35;6;41;48;38;62;61;20;46;45;6;20;38;41;45;46;48;61;62
15;29;42;0;38;46;10;52;52;28;53;57;22;65;78;10;22;28;52;52;53;57;65;78
34;35;34;25;0;7;50;25;21;43;35;40;48;33;37;21;25;33;35;37;40;43;48;50
48;4;15;14;28;14;43;68;45;-2;15;-2;11;39;22;-2;-2;11;15;22;39;43;45;68
47;36;40;41;45;17;83;87;44;72;61;38;62;66;55;38;44;55;61;62;66;72;83;87
47;44;19;47;17;2;92;49;44;90;48;33;64;19;7;7;19;33;44;48;49;64;90;92
47;26;17;31;2;47;71;31;94;49;8;63;44;0;50;0;8;31;44;49;50;63;71;94
34;35;17;1;36;35;24;56;55;33;61;64;0;45;43;0;24;33;43;45;55;56;61;64
10;23;28;14;10;39;14;20;45;17;33;52;40;34;47;14;17;20;33;34;40;45;47;52
47;6;7;27;27;22;69;59;66;31;15;19;30;15;28;15;15;19;28;30;31;59;66;69
34;45;3;39;24;48;53;44;71;72;66;74;30;16;31;16;30;31;44;53;66;71;72;74
26;44;35;27;12;3;48;29;9;52;39;45;56;42;28;9;28;29;39;42;45;48;52;56
6;46;2;15;17;20;2;20;23;50;43;66;7;3;12;2;3;7;12;20;23;43;50;66
35;14;33;37;6;11;58;35;42;36;13;24;63;24;37;13;24;24;35;36;37;42;58;63
26;42;32;41;27;29;67;46;45;73;66;63;57;52;46;45;46;46;52;57;63;66;67;73
21;44;23;10;2;18;27;20;21;48;38;61;15;20;36;15;20;20;21;27;36;38;48;61
11;42;44;36;13;34;34;17;34;66;38;74;79;40;66;17;34;34;38;40;66;66;74;79
9;7;40;22;10;19;21;6;14;24;-3;9;46;37;47;-3;6;9;14;21;24;37;46;47
5;5;30;0;10;17;-15;6;12;-11;6;7;15;21;41;-15;-11;6;6;7;12;15;21;41
15;16;18;26;40;2;22;42;15;24;40;13;26;49;5;5;13;15;22;24;26;40;42;49
13;9;2;14;7;36;12;0;30;9;-3;30;16;0;21;-3;0;0;9;12;16;21;30;30
0;11;1;19;0;29;11;-19;25;26;-6;29;5;-4;30;-19;-6;-4;5;11;25;26;29;30
7;30;44;38;25;39;34;18;30;59;39;53;81;58;67;18;30;34;39;53;58;59;67;81
25;32;42;6;3;7;12;8;13;21;21;29;30;34;47;8;12;13;21;21;29;30;34;47
34;43;0;0;26;20;18;56;41;28;67;52;-3;7;12;-3;7;12;18;28;41;52;56;67
27;35;49;3;6;18;11;25;43;30;28;45;40;49;64;11;25;28;30;40;43;45;49;64
18;3;36;9;2;26;14;15;34;-1;5;16;29;35;58;-1;5;14;15;16;29;34;35;58
23;20;8;22;1;37;41;6;59;29;6;38;27;3;45;3;6;6;27;29;38;41;45;59
1;38;35;1;9;19;-13;9;0;19;30;43;17;39;42;-13;0;9;17;19;30;39;42;43
4;1;37;44;17;43;29;8;43;38;-2;26;67;50;60;-2;8;26;29;38;43;50;60;67
27;31;32;18;15;19;32;38;38;42;35;49;33;33;50;32;33;33;35;38;38;42;49;50
49;21;9;6;49;15;39;84;54;22;62;20;11;51;7;7;11;20;22;39;51;54;62;84
23;33;35;14;38;19;32;61;39;39;58;46;36;56;45;32;36;39;39;45;46;56;58;61
48;34;1;27;7;7;65;35;44;54;40;21;17;-12;4;-12;4;17;21;35;40;44;54;65
30;12;17;48;38;33;72;61;47;50;42;28;54;45;34;28;34;42;45;47;50;54;61;72
43;49;15;10;47;47;52;72;73;53;83;79;15;53;59;15;52;53;53;59;72;73;79;83
20;18;17;48;40;4;54;53;15;59;44;9;50;39;20;9;15;20;39;44;50;53;54;59
11;6;35;40;14;9;45;9;13;29;18;-1;75;48;27;-1;9;13;18;27;29;45;48;75
47;23;14;41;48;45;80;82;79;54;67;68;36;49;55;36;49;54;55;67;68;79;80;82
9;5;32;12;48;6;7;52;8;0;49;3;35;64;19;0;3;7;8;19;35;49;52;64
2;10;29;40;44;32;23;31;29;44;54;28;50;65;57;23;28;29;31;44;50;54;57;65
40;28;32;32;26;16;57;66;46;53;48;38;44;54;47;38;44;46;47;48;53;54;57;66
46;21;48;6;15;33;47;59;64;23;29;41;42;49;80;23;29;41;42;47;49;59;64;80
8;48;29;30;32;40;34;33;30;61;67;87;45;47;60;30;33;34;45;47;60;61;67;87
31;29;37;38;1;24;57;19;53;67;15;41;62;30;57;15;19;30;41;53;57;57;62;67
45;34;17;42;28;29;86;73;64;71;42;63;58;39;34;34;39;42;58;63;64;71;73;86
1;12;18;15;42;13;-3;23;8;15;47;24;21;49;22;-3;8;15;21;22;23;24;47;49
12;38;14;21;18;37;29;19;45;47;52;61;15;17;37;15;17;19;29;37;45;47;52;61
3;27;46;37;33;11;20;29;2;57;47;35;73;60;44;2;20;29;35;44;47;57;60;73
31;10;10;5;0;6;25;25;27;4;2;15;-3;2;5;-3;2;2;4;5;15;25;25;27
32;34;29;31;41;13;43;56;29;60;74;30;52;50;24;24;29;30;43;50;52;56;60;74
37;1;38;35;12;38;62;36;68;16;7;30;53;41;73;7;16;30;36;41;53;62;68;73
26;12;33;41;15;21;50;34;29;45;9;31;63;34;51;9;29;31;34;34;45;50;51;63
20;36;33;34;26;16;40;36;22;61;44;35;61;53;37;22;35;36;37;40;44;53;61;61
49;47;30;15;19;30;50;50;62;54;55;62;34;36;45;34;36;45;50;50;54;55;62;62
32;40;5;29;27;1;44;42;21;59;53;39;25;25;-12;-12;21;25;25;39;42;44;53;59
1;1;14;36;24;38;33;6;31;35;19;34;32;24;37;6;19;24;31;32;33;34;35;37
32;23;4;19;32;23;34;64;39;30;49;32;20;16;23;16;20;23;30;32;34;39;49;64
9;27;15;36;11;25;31;13;28;51;31;40;32;19;33;13;19;28;31;31;32;33;40;51
22;48;35;9;5;25;18;24;33;50;35;71;26;22;59;18;22;24;26;33;35;50;59;71
4;34;0;33;14;26;33;7;27;65;35;52;17;1;17;1;7;17;17;27;33;35;52;65
32;5;32;33;7;25;48;24;37;34;10;22;47;24;46;10;22;24;24;34;37;46;47;48
19;16;15;13;36;13;20;37;17;18;41;9;18;31;10;9;10;17;18;18;20;31;37;41
11;38;18;18;0;32;18;-1;41;55;33;70;28;18;45;-1;18;18;28;33;41;45;55;70
9;43;43;8;4;31;1;12;38;42;47;55;33;44;64;1;12;33;38;42;44;47;55;64
6;13;23;20;40;6;18;35;12;30;45;15;39;54;28;12;15;18;28;30;35;39;45;54
26;23;5;4;11;9;23;37;19;24;21;16;-2;14;-3;-3;-2;14;16;19;21;23;24;37
26;41;30;11;23;1;21;30;18;49;58;40;30;42;15;15;18;21;30;30;40;42;49;58
29;3;38;26;30;18;48;59;35;27;19;13;45;64;36;13;19;27;35;36;45;48;59;64
1;49;2;11;8;3;-7;5;-16;51;39;43;2;-3;3;-16;-7;-3;2;3;5;39;43;51
47;26;25;10;49;25;41;85;69;34;69;38;19;63;34;19;34;34;38;41;63;69;69;85
11;30;45;19;29;10;13;28;11;49;55;32;54;68;42;11;13;28;32;42;49;54;55;68
36;47;43;18;29;41;35;65;74;64;70;86;56;58;75;35;56;58;64;65;70;74;75;86
3;0;11;26;25;39;9;25;40;13;11;25;22;35;42;9;11;13;22;25;25;35;40;42
2;40;1;37;2;20;32;-7;15;64;29;42;33;-13;16;-13;-7;15;16;29;32;33;42;64
32;16;36;35;0;9;58;27;25;47;9;14;59;31;39;9;14;25;27;31;39;47;58;59
19;14;3;28;1;1;36;15;2;36;0;7;14;2;-1;-1;0;2;2;7;14;15;36;36
48;39;14;48;36;24;95;74;72;82;75;54;50;44;35;35;44;50;54;72;74;75;82;95
9;38;18;34;45;36;30;51;38;58;69;69;43;61;46;30;38;43;46;51;58;61;69;69
10;12;8;3;11;43;-4;5;53;0;9;50;-2;16;32;-4;-2;0;5;9;16;32;50;53
11;28;26;37;42;17;39;33;11;60;70;35;60;61;27;11;27;33;35;39;60;60;61;70
30;18;1;38;4;8;56;20;19;49;8;16;22;-15;-4;-15;-4;8;16;19;20;22;49;56
32;10;33;5;16;33;36;37;45;7;14;35;26;38;62;7;14;26;35;36;37;38;45;62
11;31;43;36;36;14;31;44;21;49;61;33;61;62;37;21;31;33;37;44;49;61;61;62
14;8;7;21;42;21;21;36;15;27;30;28;23;38;13;13;15;21;23;27;28;30;36;38
34;34;18;35;38;1;60;59;23;55;71;24;53;53;10;10;23;24;53;53;55;59;60;71
27;33;37;48;0;49;63;26;64;63;20;81;67;20;83;20;20;26;63;63;64;67;81;83
27;34;28;36;10;3;51;24;25;59;39;23;53;33;31;23;24;25;31;33;39;51;53;59
36;19;44;6;12;37;31;32;53;17;26;50;38;40;81;17;26;31;32;38;40;50;53;81
31;8;43;14;41;34;32;55;45;7;44;28;38;71;65;7;28;32;38;44;45;55;65;71
27;12;38;46;23;6;55;45;16;42;30;8;64;43;29;8;16;29;30;42;43;45;55;64
11;13;21;39;47;24;40;50;18;48;41;21;54;57;30;18;21;30;40;41;48;50;54;57
17;42;4;31;41;49;28;49;51;56;81;90;23;39;36;23;28;36;39;49;51;56;81;90
18;30;17;31;30;44;48;40;60;41;59;58;46;37;51;37;40;41;46;48;51;58;59;60
8;4;17;18;7;5;9;11;12;9;10;5;18;9;17;5;9;9;9;10;11;12;17;18
21;4;7;2;0;13;5;2;24;-8;-4;-1;7;-6;10;-8;-6;-4;-1;2;5;7;10;24
30;26;2;24;48;26;45;60;39;32;63;46;22;40;19;19;22;32;39;40;45;46;60;63
46;26;5;11;19;10;52;45;53;29;25;19;12;10;15;10;12;15;19;25;29;45;52;53
3;6;28;14;7;23;-2;6;24;18;13;26;30;17;41;-2;6;13;17;18;24;26;30;41
35;45;49;36;26;18;65;48;48;76;56;49;74;66;51;48;48;49;51;56;65;66;74;76
49;22;42;5;35;41;54;77;85;20;43;60;27;72;67;20;27;43;54;60;67;72;77;85
5;48;16;1;27;4;5;22;5;49;59;42;-2;33;12;-2;5;5;12;22;33;42;49;59
46;36;6;45;0;15;83;40;55;61;35;47;50;-5;20;-5;20;35;40;47;50;55;61;83
47;21;2;19;2;2;47;46;39;36;4;23;20;-14;-15;-15;-14;4;20;23;36;39;46;47
48;9;10;18;16;7;53;48;44;27;17;-3;13;12;11;-3;11;12;13;17;27;44;48;53
11;39;45;43;23;28;52;15;25;74;46;57;84;61;71;15;25;46;52;57;61;71;74;84
15;3;12;36;17;22;51;20;17;21;19;14;29;22;17;14;17;17;19;20;21;22;29;51
0;30;47;45;48;27;26;42;26;57;77;39;85;92;63;26;26;39;42;57;63;77;85;92
49;15;38;35;30;23;78;70;64;48;37;36;67;50;59;36;37;48;50;59;64;67;70;78
3;13;8;24;12;34;25;7;37;32;11;31;14;0;30;0;7;11;14;25;30;31;32;37
48;1;14;42;26;19;83;62;54;30;20;18;54;36;22;18;20;22;30;36;54;54;62;83
36;17;24;45;47;9;66;83;30;60;60;10;62;65;25;10;25;30;60;60;62;65;66;83
23;14;49;18;21;25;29;34;35;24;34;34;49;66;59;24;29;34;34;34;35;49;59;66
34;39;41;5;4;12;28;27;44;35;23;49;33;41;42;23;27;28;33;35;41;42;44;49
42;28;17;9;2;0;43;28;22;25;11;8;15;0;7;0;7;8;11;15;22;25;28;43
7;20;6;39;30;5;35;29;-4;59;47;6;30;18;3;-4;3;6;18;29;30;35;47;59
9;2;15;23;22;34;19;29;24;17;12;29;24;37;46;12;17;19;24;24;29;29;37;46
37;27;31;20;16;8;47;41;26;42;31;28;39;27;26;26;26;27;28;31;39;41;42;47
15;9;27;49;43;36;55;50;32;54;38;37;65;51;45;32;37;38;45;50;51;54;55;65
48;4;37;7;33;0;36;73;48;-6;37;-11;34;67;32;-11;-6;32;34;36;37;48;67;73
29;32;21;26;24;9;39;37;18;45;50;38;27;32;15;15;18;27;32;37;38;39;45;50
18;17;37;23;34;6;40;33;9;22;46;9;53;55;41;9;9;22;33;40;41;46;53;55
19;23;9;38;41;40;51;51;44;42;63;48;42;38;30;30;38;42;42;44;48;51;51;63
39;4;36;49;21;43;72;58;82;52;23;31;79;54;65;23;31;52;54;58;65;72;79;82
48;11;28;12;27;2;52;62;34;18;34;-1;36;47;27;-1;18;27;34;34;36;47;52;62
23;46;32;32;12;24;45;21;36;71;53;60;53;26;53;21;26;36;45;53;53;53;60;71
45;33;17;6;43;22;32;76;67;34;72;55;11;55;22;11;22;32;34;55;55;67;72;76
15;0;15;48;34;20;59;37;35;29;19;12;54;33;28;12;19;28;29;33;35;37;54;59
2;0;12;18;37;42;19;29;41;3;26;33;14;31;43;3;14;19;26;29;31;33;41;43
32;12;13;32;40;19;48;65;45;41;52;25;30;45;20;20;25;30;41;45;45;48;52;65
22;31;1;45;45;6;49;53;21;64;62;23;34;26;-5;-5;21;23;26;34;49;53;62;64
25;42;6;30;9;44;42;28;54;57;47;76;24;11;41;11;24;28;41;42;47;54;57;76
2;13;0;4;43;0;6;36;-9;15;43;4;-12;31;0;-12;-9;0;4;6;15;31;36;43
1;42;17;42;15;3;28;1;-11;76;46;29;40;17;7;-11;1;7;17;28;29;40;46;76
15;11;4;26;21;1;31;28;5;28;30;0;11;9;-10;-10;0;5;9;11;28;28;30;31
17;49;9;15;7;23;30;4;34;63;45;70;4;16;30;4;4;16;30;30;34;45;63;70
5;11;41;5;5;25;6;7;12;1;-3;30;27;39;60;-3;1;6;7;12;27;30;39;60
41;3;29;7;42;19;43;82;52;6;31;3;29;70;40;3;6;29;31;40;43;52;70;82
32;20;11;37;45;17;61;71;45;37;53;22;41;46;15;15;22;37;41;45;46;53;61;71
15;28;2;30;41;36;45;55;46;51;54;46;21;40;23;21;23;40;45;46;46;51;54;55
31;34;48;49;21;32;74;49;44;73;51;58;79;52;64;44;49;51;52;58;64;73;74;79
35;9;8;17;48;25;38;82;47;14;50;17;14;47;17;14;14;17;17;38;47;47;50;82
16;2;9;6;28;8;10;27;21;-12;19;-8;9;19;15;-12;-8;9;10;15;19;19;21;27
6;6;29;28;37;25;24;29;21;23;27;23;55;55;51;21;23;23;24;27;29;51;55;55
44;12;42;27;36;24;68;75;67;26;30;28;64;74;60;26;28;30;60;64;67;68;74;75
30;9;1;40;44;28;56;61;42;46;38;26;27;45;20;20;26;27;38;42;45;46;56;61
39;47;1;15;44;35;36;79;66;57;76;80;13;26;20;13;20;26;36;57;66;76;79;80
10;37;9;22;22;4;16;30;10;59;55;26;22;31;-4;-4;10;16;22;26;30;31;55;59
8;42;37;12;24;6;3;16;4;37;66;34;33;51;24;3;4;16;24;33;34;37;51;66
48;6;24;26;16;1;61;63;47;12;19;7;48;33;11;7;11;12;19;33;47;48;61;63
31;38;36;45;9;3;74;32;29;71;35;40;68;37;23;23;29;32;35;37;40;68;71;74
24;46;34;47;24;3;54;34;20;75;54;39;68;46;23;20;23;34;39;46;54;54;68;75
2;47;7;16;38;21;2;21;14;46;75;56;21;40;21;2;14;21;21;21;40;46;56;75
14;47;17;5;19;4;17;23;15;52;64;38;10;31;1;1;10;15;17;23;31;38;52;64
27;14;26;49;47;43;76;69;51;54;52;39;68;59;64;39;51;52;54;59;64;68;69;76
17;24;2;0;10;6;3;14;13;7;30;11;-7;5;5;-7;3;5;5;7;11;13;14;30
9;19;6;6;26;24;1;26;21;15;34;36;0;12;14;0;1;12;14;15;21;26;34;36
9;7;29;8;1;29;-3;-5;23;-1;-3;33;30;26;56;-5;-3;-3;-1;23;26;30;33;56
41;47;15;7;41;10;45;73;50;38;80;42;19;45;17;17;19;38;42;45;45;50;73;80
9;31;25;2;21;37;-9;18;28;26;52;67;21;26;62;-9;18;21;26;26;28;52;62;67
42;14;31;24;25;22;56;65;44;34;23;19;39;38;48;19;23;34;38;39;44;48;56;65
38;13;4;46;21;10;75;45;37;59;20;22;32;15;3;3;15;20;22;32;37;45;59;75
27;33;39;29;49;10;42;60;32;44;63;31;57;74;30;30;31;32;42;44;57;60;63;74
3;29;46;16;8;29;16;-8;12;27;33;41;51;43;70;-8;12;16;27;33;41;43;51;70
30;35;46;30;18;25;44;34;49;63;38;56;59;62;56;34;38;44;49;56;56;59;62;63
38;7;4;0;12;44;19;48;80;0;19;42;0;5;37;0;0;5;19;19;37;42;48;80
3;15;40;15;22;30;5;24;26;26;26;28;51;61;67;5;24;26;26;26;28;51;61;67
24;28;40;42;24;37;61;28;47;67;45;50;62;61;69;28;45;47;50;61;61;62;67;69
4;24;18;18;31;34;14;21;36;30;54;58;17;34;33;14;17;21;30;33;34;36;54;58
3;37;29;40;34;33;35;17;33;76;57;58;49;55;53;17;33;35;49;53;55;57;58;76
19;20;42;40;4;14;57;6;26;43;14;25;69;34;37;6;14;25;26;34;37;43;57;69
23;27;3;26;9;15;38;13;31;47;33;27;27;3;18;3;13;18;27;27;31;33;38;47
7;25;15;4;10;18;-1;17;11;13;20;27;12;14;17;-1;11;12;13;14;17;17;20;27
39;46;46;49;29;48;74;52;79;86;74;92;86;67;84;52;67;74;74;79;84;86;86;92
29;19;40;20;5;3;40;15;26;31;12;19;41;42;39;12;15;19;26;31;39;40;41;42
36;16;26;48;33;24;67;56;47;59;41;31;66;58;49;31;41;47;49;56;58;59;66;67
