q0p0;q0p1;q1p0;q1p1;q1p2;s[0, 2];s[0, 3];s[0, 4];s[1, 2];s[1, 3];s[1, 4];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5
43;12;29;23;6;61;52;39;25;34;8;8;25;34;39;52;61
24;42;48;1;5;54;23;21;77;23;36;21;23;23;36;54;77
15;32;44;2;37;45;-2;47;70;20;59;-2;20;45;47;59;70
19;23;7;29;39;7;34;50;19;39;45;7;19;34;39;45;50
31;42;36;1;36;53;16;58;64;24;70;16;24;53;58;64;70
19;14;15;26;49;33;31;50;20;25;62;20;25;31;33;50;62
22;11;0;19;45;7;38;57;11;30;41;7;11;30;38;41;57
25;45;42;26;32;63;44;57;81;56;59;44;56;57;59;63;81
25;1;44;27;16;55;39;41;30;18;5;5;18;30;39;41;55
43;18;32;20;35;68;61;61;47;36;33;33;36;47;61;61;68
29;41;2;30;1;22;43;18;23;58;31;18;22;23;31;43;58
15;22;1;4;5;13;16;13;14;21;9;9;13;13;14;16;21
37;41;35;17;33;57;43;69;72;58;57;43;57;57;58;69;72
28;7;3;34;26;25;52;39;-8;39;26;-8;25;26;39;39;52
7;9;43;28;14;31;21;16;43;21;22;16;21;21;22;31;43
21;39;4;39;24;6;58;32;29;59;52;6;29;32;52;58;59
14;21;38;35;47;48;33;51;50;46;66;33;46;48;50;51;66
49;30;33;33;26;81;65;75;49;61;41;41;49;61;65;75;81
29;9;43;44;16;55;66;43;33;48;20;20;33;43;48;55;66
13;8;17;31;37;29;32;39;8;38;40;8;29;32;38;39;40
29;27;47;4;41;60;28;55;65;19;49;19;28;49;55;60;65
10;22;25;3;42;19;-1;42;45;8;59;-1;8;19;42;45;59
22;35;12;11;24;28;21;39;41;40;53;21;28;39;40;41;53
49;21;11;1;44;60;50;90;13;22;60;13;22;50;60;60;90
45;2;9;37;36;53;78;69;11;39;35;11;35;39;53;69;78
39;16;1;5;21;20;26;59;2;18;17;2;17;18;20;26;59
19;15;25;25;0;24;30;4;23;38;12;4;12;23;24;30;38
46;9;49;38;46;92;72;79;58;27;53;27;53;58;72;79;92
15;38;3;23;3;-1;33;3;33;45;32;-1;3;32;33;33;45
29;32;32;6;17;60;15;39;59;36;32;15;32;36;39;59;60
13;19;40;45;25;48;56;36;50;45;24;24;36;45;48;50;56
41;19;36;23;5;60;61;26;37;40;14;14;26;37;40;60;61
21;23;43;9;44;60;26;49;59;19;57;19;26;49;57;59;60
15;12;21;17;29;20;14;33;22;18;41;14;18;20;22;33;41
20;44;29;10;46;38;10;56;71;38;85;10;38;38;56;71;85
24;9;8;44;46;30;52;66;5;34;52;5;30;34;52;52;66
0;28;34;9;23;22;-1;3;61;33;39;-1;3;22;33;39;61
45;23;35;21;7;79;65;48;40;39;29;29;39;40;48;65;79
2;24;4;29;7;-13;22;-2;13;38;31;-13;-2;13;22;31;38
1;46;45;25;45;43;21;42;90;53;83;21;42;43;53;83;90
21;45;18;13;24;34;32;34;45;38;68;32;34;34;38;45;68
17;36;42;48;41;57;52;38;58;84;67;38;52;57;58;67;84
48;17;15;3;25;52;44;61;31;7;31;7;31;31;44;52;61
4;0;46;13;11;33;17;-3;32;3;5;-3;3;5;17;32;33
17;17;27;25;35;33;37;47;40;33;49;33;33;37;40;47;49
38;43;35;44;3;63;66;21;66;80;33;21;33;63;66;66;80
26;7;8;29;40;29;51;49;-3;23;30;-3;23;29;30;49;51
6;4;26;5;7;25;5;2;11;-8;11;-8;2;5;11;11;25
43;0;1;35;30;41;60;69;-6;26;18;-6;18;26;41;60;69
0;24;23;4;15;5;-14;1;38;11;29;-14;1;5;11;29;38
15;44;27;32;38;27;37;52;70;58;72;27;37;52;58;70;72
44;34;49;36;3;79;69;47;81;53;25;25;47;53;69;79;81
14;27;38;2;1;43;1;13;60;20;28;1;13;20;28;43;60
26;12;18;25;0;33;33;17;23;34;9;9;17;23;33;33;34
39;35;36;44;4;59;77;41;56;63;29;29;41;56;59;63;77
18;33;36;25;28;52;34;38;52;44;50;34;38;44;50;52;52
25;39;45;36;14;67;59;23;66;62;49;23;49;59;62;66;67
8;25;21;24;43;20;28;45;41;32;64;20;28;32;41;45;64
36;32;12;13;32;36;35;60;27;36;52;27;35;36;36;52;60
6;7;2;25;19;-2;14;19;1;14;8;-2;1;8;14;14;19
2;18;48;37;37;46;21;20;60;55;55;20;21;46;55;55;60
39;28;18;48;29;39;68;50;41;60;39;39;39;41;50;60;68
20;36;48;21;26;65;32;36;69;43;46;32;36;43;46;65;69
49;40;14;3;11;47;47;42;52;26;49;26;42;47;47;49;52
34;37;48;23;24;69;39;52;79;49;41;39;41;49;52;69;79
32;6;14;6;26;29;24;57;19;5;29;5;19;24;29;29;57
31;40;17;18;11;36;32;32;46;50;46;32;32;36;46;46;50
6;27;17;19;28;16;5;17;41;31;46;5;16;17;31;41;46
40;10;46;27;12;75;64;41;37;36;21;21;36;37;41;64;75
1;44;39;45;39;20;39;39;66;73;67;20;39;39;66;67;73
7;41;36;0;33;31;7;28;64;27;61;7;27;28;31;61;64
10;4;18;26;43;24;28;43;12;11;33;11;12;24;28;33;43
24;43;44;10;30;59;34;43;71;51;68;34;43;51;59;68;71
44;17;41;31;16;67;58;51;50;33;28;28;33;50;51;58;67
11;45;39;44;36;44;45;45;66;85;64;44;45;45;64;66;85
37;41;5;1;26;25;22;57;27;31;63;22;25;27;31;57;63
30;20;19;34;28;33;46;41;37;46;41;33;37;41;41;46;46
20;49;8;10;14;21;13;17;49;47;50;13;17;21;47;49;50
5;26;8;21;15;-3;19;3;19;31;29;-3;3;19;19;29;31
17;7;33;36;14;40;51;18;38;24;10;10;18;24;38;40;51
19;35;9;4;21;20;5;33;26;29;38;5;20;26;29;33;38
7;20;28;11;42;34;11;47;29;17;50;11;17;29;34;47;50
33;23;37;42;1;56;61;15;60;48;7;7;15;48;56;60;61
19;27;24;38;42;28;39;44;38;58;62;28;38;39;44;58;62
22;24;1;26;14;17;35;26;25;42;31;17;25;26;31;35;42
45;45;43;26;35;72;68;77;69;65;79;65;68;69;72;77;79
47;36;15;48;17;55;82;52;49;67;42;42;49;52;55;67;82
4;39;36;49;33;23;40;36;66;68;62;23;36;40;62;66;68
35;5;11;25;2;34;54;26;-2;28;0;-2;0;26;28;34;54
32;29;30;6;5;46;35;33;50;16;33;16;33;33;35;46;50
24;26;47;22;45;70;34;63;72;36;53;34;36;53;63;70;72
37;24;18;25;12;41;62;49;32;41;17;17;32;41;41;49;62
44;11;22;6;38;53;34;75;19;9;44;9;19;34;44;53;75
2;32;6;4;48;-6;-4;30;26;35;67;-6;-4;26;30;35;67
7;2;4;42;33;6;48;37;-14;40;23;-14;6;23;37;40;48
45;47;42;15;38;70;45;69;79;61;76;45;61;69;70;76;79
3;5;37;33;36;34;24;20;40;26;30;20;24;26;30;34;40
27;49;23;9;38;49;20;53;63;58;77;20;49;53;58;63;77
34;43;47;15;0;75;41;21;80;54;24;21;24;41;54;75;80
38;41;18;5;25;55;35;63;55;28;63;28;35;55;55;63;63
19;28;9;8;9;16;20;14;32;34;23;14;16;20;23;32;34
35;19;15;22;17;33;46;40;34;37;34;33;34;34;37;40;46
2;31;28;41;16;24;33;18;40;55;40;18;24;33;40;40;55
42;17;15;26;24;41;55;55;30;25;29;25;29;30;41;55;55
21;46;32;42;12;35;53;26;60;84;43;26;35;43;53;60;84
46;1;14;16;27;52;51;63;4;11;17;4;11;17;51;52;63
3;43;10;23;45;5;23;43;49;50;70;5;23;43;49;50;70
25;15;39;18;37;57;24;49;49;13;39;13;24;39;49;49;57
0;20;27;17;31;14;7;15;40;29;32;7;14;15;29;32;40
26;49;39;44;36;64;56;48;79;82;71;48;56;64;71;79;82
35;43;16;13;17;47;28;41;51;43;41;28;41;41;43;47;51
28;46;0;41;16;24;63;35;37;74;52;24;35;37;52;63;74
22;15;0;4;49;14;16;54;5;17;51;5;14;16;17;51;54
28;8;7;21;37;21;33;54;12;19;42;12;19;21;33;42;54
7;13;35;45;28;29;32;35;39;46;37;29;32;35;37;39;46
11;32;40;47;1;32;48;-6;62;63;21;-6;21;32;48;62;63
1;25;41;20;35;25;11;16;52;41;47;11;16;25;41;47;52
8;24;40;34;38;37;27;32;56;39;45;27;32;37;39;45;56
33;46;36;39;44;51;68;57;78;72;76;51;57;68;72;76;78
47;11;17;17;18;44;58;60;27;16;25;16;25;27;44;58;60
19;27;11;49;8;22;56;15;27;59;21;15;21;22;27;56;59
30;42;30;27;34;45;43;64;61;59;71;43;45;59;61;64;71
6;40;29;34;3;15;22;1;63;54;38;1;15;22;38;54;63
0;25;48;4;29;44;-2;18;71;23;49;-2;18;23;44;49;71
46;14;11;10;30;52;50;74;5;8;41;5;8;41;50;52;74
42;2;16;28;42;38;61;72;5;11;30;5;11;30;38;61;72
24;32;3;40;23;25;47;46;16;61;52;16;25;46;47;52;61
47;27;6;22;13;47;61;46;13;34;34;13;34;34;46;47;61
37;13;7;1;6;29;28;30;3;-1;1;-1;1;3;28;29;30
20;18;44;34;42;64;54;48;59;46;43;43;46;48;54;59;64
46;17;31;31;32;74;76;62;42;39;32;32;39;42;62;74;76
30;35;42;16;45;71;44;61;69;35;69;35;44;61;69;69;71
10;17;42;4;3;33;14;2;53;8;4;2;4;8;14;33;53
6;45;4;40;48;-8;28;43;29;73;78;-8;28;29;43;73;78
40;39;16;13;8;52;39;36;37;39;43;36;37;39;39;43;52
19;39;32;48;48;51;53;49;55;80;77;49;51;53;55;77;80
36;39;22;43;2;51;62;34;59;68;40;34;40;51;59;62;68
6;10;14;22;34;15;10;28;16;20;28;10;15;16;20;28;28
7;38;5;14;5;12;11;5;40;52;42;5;11;12;40;42;52
20;11;22;3;46;26;23;59;31;14;43;14;23;26;31;43;59
23;29;34;43;9;45;65;15;50;70;36;15;36;45;50;65;70
36;29;9;5;49;45;23;84;28;23;60;23;23;28;45;60;84
26;9;25;12;7;32;36;29;30;20;9;9;20;29;30;32;36
22;36;46;25;42;52;34;58;79;48;75;34;48;52;58;75;79
24;9;41;8;3;45;27;13;34;14;12;12;13;14;27;34;45
34;7;31;14;40;47;28;72;27;12;46;12;27;28;46;47;72
18;30;29;31;7;45;36;9;55;59;23;9;23;36;45;55;59
41;6;9;5;22;32;27;60;9;10;20;9;10;20;27;32;60
12;33;5;28;2;6;24;-1;23;42;30;-1;6;23;24;30;42
14;31;42;34;29;43;31;40;53;63;44;31;40;43;44;53;63
31;30;29;35;25;40;56;42;54;52;48;40;42;48;52;54;56
18;47;19;18;10;34;21;14;58;64;47;14;21;34;47;58;64
21;29;44;37;47;53;48;56;66;48;56;48;48;53;56;56;66
0;26;36;45;27;26;25;21;43;71;41;21;25;26;41;43;71
24;32;36;23;33;45;46;51;48;42;50;42;45;46;48;50;51
21;23;23;11;43;31;27;64;28;33;48;27;28;31;33;48;64
1;49;4;23;31;-5;18;30;46;68;76;-5;18;30;46;68;76
35;15;33;2;17;65;35;41;45;7;27;7;27;35;41;45;65
45;21;21;24;12;66;52;54;29;34;24;24;29;34;52;54;66
14;13;13;39;26;7;47;29;15;41;30;7;15;29;30;41;47
21;36;31;12;38;37;16;54;57;48;74;16;37;48;54;57;74
15;43;17;37;4;19;32;18;50;68;41;18;19;32;41;50;68
16;37;48;41;21;52;42;26;70;59;41;26;41;42;52;59;70
6;4;24;6;31;10;5;22;8;-3;19;-3;5;8;10;19;22
29;33;34;40;30;59;56;49;59;62;55;49;55;56;59;59;62
9;44;43;46;33;52;46;24;84;76;72;24;46;52;72;76;84
28;29;2;0;38;11;25;63;15;11;66;11;11;15;25;63;66
3;14;43;15;44;39;10;40;49;27;39;10;27;39;39;40;49
13;20;1;23;26;6;20;26;12;31;45;6;12;20;26;31;45
6;48;22;41;41;23;27;28;67;85;80;23;27;28;67;80;85
48;8;43;23;27;72;59;57;41;29;15;15;29;41;57;59;72
9;31;37;17;8;36;25;9;68;37;32;9;25;32;36;37;68
11;31;15;19;0;20;16;-5;36;36;25;-5;16;20;25;36;36
28;12;5;6;30;24;27;39;11;1;40;1;11;24;27;39;40
31;27;45;22;12;69;33;34;65;35;37;33;34;35;37;65;69
24;15;37;43;23;56;55;42;37;46;20;20;37;42;46;55;56
3;6;21;44;45;12;34;45;24;38;42;12;24;34;38;42;45
6;37;29;13;30;26;0;26;48;50;57;0;26;26;48;50;57
46;15;25;40;20;66;84;49;37;36;33;33;36;37;49;66;84
4;48;35;22;49;26;26;48;74;68;85;26;26;48;68;74;85
48;46;33;2;17;72;32;62;67;37;45;32;37;45;62;67;72
36;49;42;37;46;76;59;78;86;73;91;59;73;76;78;86;91
11;21;26;14;24;22;11;27;36;17;27;11;17;22;27;27;36
42;49;40;47;23;63;75;45;76;96;72;45;63;72;75;76;96
0;28;30;14;1;14;-3;-13;38;23;12;-13;-3;12;14;23;38
24;31;5;48;27;19;69;47;19;65;58;19;19;47;58;65;69
16;4;37;29;6;44;36;4;23;25;0;0;4;23;25;36;44
46;23;28;29;38;68;57;75;39;46;41;39;41;46;57;68;75
48;20;11;21;26;58;49;55;12;40;29;12;29;40;49;55;58
35;11;7;26;17;34;49;51;14;19;17;14;17;19;34;49;51
31;47;31;39;23;61;68;44;78;74;68;44;61;68;68;74;78
16;31;34;26;29;32;24;39;61;37;54;24;32;37;39;54;61
20;0;43;31;27;63;45;35;39;29;18;18;29;35;39;45;63
10;44;31;3;5;40;-1;2;73;32;43;-1;2;32;40;43;73
21;15;5;17;48;25;30;62;5;22;56;5;22;25;30;56;62
4;31;22;42;2;24;42;4;38;54;23;4;23;24;38;42;54
42;0;24;34;42;61;57;74;19;16;22;16;19;22;57;61;74
20;31;47;31;8;65;42;12;76;58;32;12;32;42;58;65;76
24;29;49;48;27;62;63;38;67;65;50;38;50;62;63;65;67
47;16;15;23;2;54;62;29;13;29;11;11;13;29;29;54;62
36;33;5;27;9;35;43;27;27;57;28;27;27;28;35;43;57
37;44;13;18;0;43;51;29;46;53;26;26;29;43;46;51;53
40;15;48;37;2;80;73;30;63;49;10;10;30;49;63;73;80
29;27;49;39;35;63;66;60;65;46;58;46;58;60;63;65;66
14;30;38;18;7;37;23;10;52;31;25;10;23;25;31;37;52
41;14;46;48;42;75;78;78;45;43;49;43;45;49;75;78;78
19;8;41;37;46;44;39;62;32;45;48;32;39;44;45;48;62
8;36;29;41;9;18;47;17;61;77;26;17;18;26;47;61;77
38;18;41;24;29;79;62;52;44;24;27;24;27;44;52;62;79
19;39;4;39;9;19;55;9;42;74;28;9;19;28;42;55;74
2;27;25;26;2;16;14;-4;41;42;15;-4;14;15;16;41;42
38;12;0;29;6;33;48;29;2;29;5;2;5;29;29;33;48
13;48;10;29;34;12;41;28;43;58;76;12;28;41;43;58;76
3;42;27;41;37;18;25;28;66;82;60;18;25;28;60;66;82
5;29;15;18;1;5;16;-12;25;42;18;-12;5;16;18;25;42
14;6;46;12;45;54;14;52;44;8;40;8;14;40;44;52;54
16;18;27;7;36;36;3;47;27;14;43;3;14;27;36;43;47
20;42;36;8;28;36;26;42;77;41;54;26;36;41;42;54;77
23;42;1;31;11;15;45;24;31;72;48;15;24;31;45;48;72
0;6;46;9;34;27;4;15;38;-5;22;-5;4;15;22;27;38
41;29;44;6;9;77;35;42;73;20;19;19;20;35;42;73;77
46;14;2;28;14;40;59;48;12;30;20;12;20;30;40;48;59
10;23;18;23;23;13;24;15;35;31;35;13;15;24;31;35;35
44;26;38;41;12;64;70;40;63;58;20;20;40;58;63;64;70
48;25;23;40;39;55;85;71;46;49;44;44;46;49;55;71;85
13;40;19;40;37;24;51;32;59;75;73;24;32;51;59;73;75
23;7;0;7;39;14;23;56;-11;0;31;-11;0;14;23;31;56
19;36;17;38;24;31;53;27;51;59;44;27;31;44;51;53;59
41;6;0;26;34;34;54;68;-11;14;26;-11;14;26;34;54;68
37;12;34;12;40;70;34;63;45;21;43;21;34;43;45;63;70
37;19;25;48;5;59;66;41;34;56;6;6;34;41;56;59;66
39;39;40;22;14;75;54;33;79;54;48;33;48;54;54;75;79
47;47;27;21;28;58;67;69;66;53;56;53;56;58;66;67;69
26;26;12;16;16;27;42;38;33;35;28;27;28;33;35;38;42
44;34;30;18;11;67;57;46;46;40;25;25;40;46;46;57;67
22;13;41;30;11;47;48;14;48;25;5;5;14;25;47;48;48
11;20;14;0;0;10;5;8;14;19;16;5;8;10;14;16;19
4;49;21;35;4;9;29;6;67;66;52;6;9;29;52;66;67
48;14;15;12;30;48;56;74;14;13;39;13;14;39;48;56;74
37;38;41;4;13;71;26;45;78;42;40;26;40;42;45;71;78
27;28;41;47;19;67;66;27;67;62;44;27;44;62;66;67;67
44;22;37;45;21;69;85;64;55;49;26;26;49;55;64;69;85
21;40;44;36;49;57;56;55;80;76;75;55;56;57;75;76;80
22;49;31;34;13;36;52;23;61;81;58;23;36;52;58;61;81
6;5;31;3;46;20;-6;46;28;1;51;-6;1;20;28;46;51
26;17;31;48;2;53;56;15;30;52;8;8;15;30;52;53;56
25;25;38;47;10;47;65;18;54;60;32;18;32;47;54;60;65
18;42;33;25;27;34;29;36;75;67;58;29;34;36;58;67;75
28;8;6;44;22;25;63;42;9;39;21;9;21;25;39;42;63
23;15;27;48;27;34;59;39;41;50;24;24;34;39;41;50;59
7;16;28;48;23;24;53;24;29;64;34;24;24;29;34;53;64
11;8;26;29;24;21;23;20;17;31;23;17;20;21;23;23;31
43;7;28;20;48;71;54;74;27;26;50;26;27;50;54;71;74
38;12;46;37;41;67;56;68;42;38;43;38;42;43;56;67;68
41;7;12;10;43;45;49;77;6;17;39;6;17;39;45;49;77
4;38;14;39;35;7;41;24;51;64;55;7;24;41;51;55;64
36;22;19;35;25;38;64;45;30;48;38;30;38;38;45;48;64
27;33;37;10;35;53;29;45;55;38;57;29;38;45;53;55;57
43;37;9;29;49;40;64;88;42;59;83;40;42;59;64;83;88
32;48;39;38;31;52;57;50;77;79;60;50;52;57;60;77;79
30;10;15;0;38;39;10;54;19;-3;44;-3;10;19;39;44;54
24;4;36;35;45;56;42;58;31;32;29;29;31;32;42;56;58
5;26;37;6;32;32;4;21;44;19;47;4;19;21;32;44;47
46;13;37;15;35;71;59;77;46;16;39;16;39;46;59;71;77
49;15;33;39;43;65;68;90;43;40;55;40;43;55;65;68;90
21;49;6;32;47;13;38;59;50;62;82;13;38;50;59;62;82
25;11;33;16;31;45;21;50;25;24;28;21;24;25;28;45;50
24;8;38;32;43;52;50;49;42;37;46;37;42;46;49;50;52
6;39;29;48;33;32;41;23;65;68;64;23;32;41;64;65;68
30;25;1;22;32;13;48;45;14;42;46;13;14;42;45;46;48
13;2;2;25;38;6;29;33;-5;13;39;-5;6;13;29;33;39
27;26;0;12;25;14;19;36;13;34;33;13;14;19;33;34;36
28;6;1;5;36;25;13;52;-7;-9;30;-9;-7;13;25;30;52
0;44;30;36;0;19;19;0;62;65;25;0;19;19;25;62;65
40;14;39;17;39;71;44;76;43;28;35;28;35;43;44;71;76
45;36;4;27;30;34;64;65;20;48;54;20;34;48;54;64;65
16;43;6;35;12;6;48;20;49;74;54;6;20;48;49;54;74
34;45;38;35;17;72;52;32;71;77;59;32;52;59;71;72;77
20;0;28;2;25;45;15;44;28;-14;18;-14;15;18;28;44;45
7;15;32;49;25;34;36;27;32;46;26;26;27;32;34;36;46
44;32;41;10;26;83;40;59;68;29;52;29;40;52;59;68;83
44;37;36;29;13;79;73;53;69;51;46;46;51;53;69;73;79
19;20;47;4;44;64;22;57;47;13;54;13;22;47;54;57;64
42;2;5;24;14;41;55;36;-11;26;-4;-11;-4;26;36;41;55
24;23;28;23;49;39;33;69;41;28;65;28;33;39;41;65;69
17;18;11;2;30;19;-1;45;15;10;45;-1;10;15;19;45;45
28;18;34;18;27;43;31;55;52;31;29;29;31;31;43;52;55
4;39;41;0;22;42;-3;14;64;24;53;-3;14;24;42;53;64
14;28;40;30;7;41;26;11;68;57;17;11;17;26;41;57;68
7;40;2;0;49;3;-6;37;32;28;69;-6;3;28;32;37;69
18;1;31;21;2;34;37;14;25;13;-3;-3;13;14;25;34;37
3;24;9;37;34;10;24;30;30;41;41;10;24;30;30;41;41
1;20;1;27;41;-5;11;39;13;28;56;-5;11;13;28;39;56
17;35;16;34;46;29;40;49;34;59;75;29;34;40;49;59;75
9;33;43;0;41;33;-9;31;57;33;65;-9;31;33;33;57;65
0;3;7;46;13;-10;33;-6;0;29;0;-10;-6;0;0;29;33
26;41;11;49;9;20;59;26;48;88;42;20;26;42;48;59;88
48;41;36;13;19;82;58;64;68;38;52;38;52;58;64;68;82
2;0;38;35;32;27;32;29;35;20;22;20;22;27;29;32;35
39;13;17;36;47;40;70;80;21;32;55;21;32;40;55;70;80
1;13;9;20;3;-1;14;-2;12;30;15;-2;-1;12;14;15;30
20;25;17;16;46;37;36;56;34;37;66;34;36;37;37;56;66
10;14;45;17;30;49;22;36;43;19;25;19;22;25;36;43;49
35;6;47;40;44;81;71;78;36;30;47;30;36;47;71;78;81
20;31;6;33;42;25;53;53;23;48;57;23;25;48;53;53;57
10;5;9;10;34;4;18;28;11;-5;33;-5;4;11;18;28;33
12;49;0;37;2;5;42;14;34;79;42;5;14;34;42;42;79
0;24;39;48;20;38;42;8;54;63;43;8;38;42;43;54;63
42;8;38;11;36;77;49;72;44;6;30;6;30;44;49;72;77
42;40;18;19;20;44;61;53;50;39;53;39;44;50;53;53;61
46;0;0;33;49;37;71;78;-5;33;38;-5;33;37;38;71;78
3;9;29;14;28;12;8;27;26;15;18;8;12;15;18;26;27
46;25;49;43;3;86;77;33;70;51;16;16;33;51;70;77;86
29;6;1;28;4;28;46;24;-10;25;-2;-10;-2;24;25;28;46
43;35;18;10;9;57;43;35;49;36;29;29;35;36;43;49;57
42;17;19;43;20;47;84;52;35;47;21;21;35;47;47;52;84
19;30;35;4;28;46;4;41;60;19;40;4;19;40;41;46;60
10;26;44;14;34;52;7;43;59;38;54;7;38;43;52;54;59
43;37;36;19;5;72;46;41;67;39;22;22;39;41;46;67;72
48;49;5;6;28;50;34;73;48;42;62;34;42;48;50;62;73
1;13;40;9;17;36;-1;16;48;16;20;-1;16;16;20;36;48
17;34;12;33;29;12;30;30;26;47;45;12;26;30;30;45;47
34;4;46;10;37;78;27;67;30;14;30;14;27;30;30;67;78
26;10;37;44;0;58;51;11;43;47;7;7;11;43;47;51;58
6;9;7;37;12;-6;39;5;7;46;19;-6;5;7;19;39;46
14;4;4;40;13;6;34;20;-4;35;8;-4;6;8;20;34;35
18;40;36;27;16;48;34;19;75;66;50;19;34;48;50;66;75
11;43;24;2;48;19;9;39;65;26;72;9;19;26;39;65;72
40;29;43;42;17;80;76;37;71;53;29;29;37;53;71;76;80
1;21;9;36;39;-1;28;21;20;44;54;-1;20;21;28;44;54
39;46;40;49;42;72;88;61;84;87;75;61;72;75;84;87;88
38;1;1;0;18;39;30;45;-9;-15;7;-15;-9;7;30;39;45
14;24;16;36;5;12;37;7;27;50;22;7;12;22;27;37;50
3;25;8;30;41;2;33;27;28;38;56;2;27;28;33;38;56
33;34;0;5;8;24;34;32;25;19;36;19;24;25;32;34;36
40;32;30;38;36;60;78;70;58;50;65;50;58;60;65;70;78
12;42;32;41;8;26;39;18;58;68;30;18;26;30;39;58;68
24;30;32;30;11;51;46;34;53;49;36;34;36;46;49;51;53
48;16;47;42;26;88;74;55;49;41;24;24;41;49;55;74;88
43;2;39;46;10;82;78;49;41;36;-2;-2;36;41;49;78;82
14;0;25;17;23;29;27;34;16;16;15;15;16;16;27;29;34
8;4;20;12;4;19;5;-5;23;2;-4;-5;-4;2;5;19;23
0;39;34;21;8;30;7;7;68;58;41;7;7;30;41;58;68
45;6;39;15;33;69;40;64;37;3;34;3;34;37;40;64;69
38;37;4;23;43;40;44;76;39;50;65;39;40;44;50;65;76
29;17;44;19;21;71;39;33;57;33;36;33;33;36;39;57;71
39;6;17;8;0;38;38;30;12;1;-5;-5;1;12;30;38;38
49;15;28;40;18;69;73;60;33;55;16;16;33;55;60;69;73
16;41;48;26;29;46;35;29;72;56;69;29;35;46;56;69;72
19;46;14;39;24;17;49;36;43;73;64;17;36;43;49;64;73
34;24;30;6;15;58;38;41;39;30;26;26;30;38;39;41;58
37;10;29;41;19;50;77;49;32;46;26;26;32;46;49;50;77
46;40;0;20;28;27;49;71;28;47;68;27;28;47;49;68;71
7;13;37;41;44;25;41;51;37;35;56;25;35;37;41;51;56
28;39;31;20;46;43;34;57;55;39;72;34;39;43;55;57;72
25;38;34;16;4;40;34;25;57;41;34;25;34;34;40;41;57
46;41;24;10;27;67;47;54;59;51;58;47;51;54;58;59;67
28;18;12;6;12;31;23;23;12;9;30;9;12;23;23;30;31
28;19;11;39;7;31;48;30;29;48;23;23;29;30;31;48;48
47;19;2;1;30;37;29;61;3;10;43;3;10;29;37;43;61
13;34;17;14;6;17;12;2;32;34;23;2;12;17;23;32;34
31;38;1;17;3;15;46;19;38;54;39;15;19;38;39;46;54
4;35;3;10;49;-12;10;51;30;26;64;-12;10;26;30;51;64
16;32;39;19;31;36;30;39;52;35;59;30;35;36;39;52;59
10;7;29;24;35;22;31;25;16;29;28;16;22;25;28;29;31
29;38;36;38;27;61;64;54;65;56;49;49;54;56;61;64;65
30;45;28;23;34;51;44;50;60;66;59;44;50;51;59;60;66
49;0;8;44;43;55;75;91;-1;33;41;-1;33;41;55;75;91
45;28;5;28;1;36;67;39;24;40;10;10;24;36;39;40;67
34;11;43;25;48;60;49;82;36;23;55;23;36;49;55;60;82
45;38;20;23;9;62;61;42;43;45;47;42;43;45;47;61;62
23;23;15;38;48;29;58;68;21;55;60;21;29;55;58;60;68
15;45;4;44;47;17;43;59;48;75;83;17;43;48;59;75;83
16;7;7;27;45;11;39;47;4;19;42;4;11;19;39;42;47
21;8;12;48;7;18;50;12;13;46;-2;-2;12;13;18;46;50
49;43;10;9;16;49;44;45;52;33;52;33;44;45;49;52;52
33;5;31;40;45;48;66;61;22;26;44;22;26;44;48;61;66
15;49;29;20;8;24;28;8;76;57;50;8;24;28;50;57;76
21;43;44;12;40;47;22;56;69;50;80;22;47;50;56;69;80
11;3;29;17;25;36;13;28;27;14;25;13;14;25;27;28;36
6;42;13;0;48;8;-3;54;51;28;87;-3;8;28;51;54;87
10;13;14;19;27;8;9;31;14;32;34;8;9;14;31;32;34
37;2;26;11;6;58;47;39;26;5;7;5;7;26;39;47;58
23;29;47;37;34;64;54;57;56;46;59;46;54;56;57;59;64
9;21;33;25;4;39;25;4;49;46;20;4;20;25;39;46;49
4;2;45;0;29;43;-16;22;41;-14;29;-16;-14;22;29;41;43
22;12;22;1;12;43;19;32;27;12;7;7;12;19;27;32;43
28;19;8;14;12;24;42;40;16;24;20;16;20;24;24;40;42
8;18;48;49;7;53;52;6;65;55;21;6;21;52;53;55;65
38;16;24;33;16;45;51;42;26;39;22;22;26;39;42;45;51
3;25;8;3;21;-5;1;5;24;12;37;-5;1;5;12;24;37
21;49;34;7;47;55;26;64;71;45;77;26;45;55;64;71;77
16;32;9;25;1;9;27;11;39;47;30;9;11;27;30;39;47
13;13;7;15;27;3;23;24;17;11;37;3;11;17;23;24;37
39;26;38;45;39;57;82;65;49;61;47;47;49;57;61;65;82
11;45;21;16;49;17;20;54;51;47;75;17;20;47;51;54;75
19;20;38;13;20;38;18;30;56;29;39;18;29;30;38;39;56
32;8;33;19;30;61;37;58;34;10;27;10;27;34;37;58;61
21;34;13;15;15;29;36;17;41;30;31;17;29;30;31;36;41
48;32;11;35;11;41;68;44;24;50;38;24;38;41;44;50;68
34;20;15;2;30;44;33;46;25;4;31;4;25;31;33;44;46
8;4;29;20;33;29;21;29;15;15;33;15;15;21;29;29;33
32;23;19;25;16;49;42;30;30;42;23;23;30;30;42;42;49
