q0p0;q0p1;q0p2;q0p3;q1p0;q1p1;s[0, 4];s[0, 5];s[1, 4];s[1, 5];s[2, 4];s[2, 5];s[3, 4];s[3, 5];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7
4;48;2;19;3;21;-11;8;31;55;-6;6;9;39;-11;-6;6;8;9;31;39;55
7;19;2;35;16;1;13;8;20;4;1;-13;42;23;-13;1;4;8;13;20;23;42
33;1;21;2;37;38;54;68;22;24;52;54;34;25;22;24;25;34;52;54;54;68
16;47;38;15;33;18;46;18;72;61;56;52;34;28;18;28;34;46;52;56;61;72
13;2;37;14;49;32;48;29;48;14;80;59;50;46;14;29;46;48;48;50;59;80
15;46;39;12;44;35;39;41;80;70;70;64;38;38;38;38;39;41;64;70;70;80
49;6;15;5;7;41;52;77;13;31;6;50;-7;32;-7;6;13;31;32;50;52;77
24;34;45;27;19;18;32;22;48;37;50;54;35;38;22;32;35;37;38;48;50;54
47;9;29;42;40;38;80;69;47;29;55;47;79;66;29;47;47;55;66;69;79;80
41;24;19;27;34;8;71;34;46;16;46;12;60;31;12;16;31;34;46;46;60;71
46;29;20;13;26;7;64;47;48;30;42;16;28;12;12;16;28;30;42;47;48;64
1;35;37;48;14;0;13;-17;37;18;42;28;58;43;-17;13;18;28;37;42;43;58
20;43;7;26;48;18;64;38;76;56;44;7;54;39;7;38;39;44;54;56;64;76
45;31;30;33;9;23;46;53;22;51;22;43;39;50;22;22;39;43;46;50;51;53
43;26;23;29;20;32;59;70;44;41;32;55;42;48;32;41;42;44;48;55;59;70
6;22;6;7;31;36;18;42;44;54;27;36;34;40;18;27;34;36;40;42;44;54
41;24;12;17;4;33;28;67;23;39;5;27;2;45;2;5;23;27;28;39;45;67
15;6;21;21;26;29;37;29;27;28;40;40;39;48;27;28;29;37;39;40;40;48
44;35;45;35;22;3;65;38;51;23;64;44;43;34;23;34;38;43;44;51;64;65
45;1;15;29;13;40;46;81;-6;30;8;46;40;49;-6;8;30;40;46;46;49;81
49;26;25;31;29;38;71;79;38;62;53;44;48;56;38;44;48;53;56;62;71;79
23;12;4;6;30;22;51;28;37;31;18;13;33;17;13;17;18;28;31;33;37;51
48;1;12;23;20;15;56;45;2;2;14;10;34;34;2;2;10;14;34;34;45;56
21;43;1;9;26;16;27;26;65;58;10;7;34;7;7;7;10;26;27;34;58;65
14;37;21;14;45;47;43;44;75;75;60;64;39;43;39;43;43;44;60;64;75;75
24;33;37;14;37;42;50;50;69;62;68;67;40;41;40;41;50;50;62;67;68;69
23;7;16;10;28;32;41;54;22;32;25;44;35;32;22;25;32;32;35;41;44;54
37;21;40;49;30;5;58;24;45;6;59;27;79;36;6;24;27;36;45;58;59;79
45;11;38;11;47;34;81;71;45;38;79;56;42;30;30;38;42;45;56;71;79;81
20;15;0;6;16;19;19;34;27;19;13;5;10;16;5;10;13;16;19;19;27;34
42;20;37;40;41;21;63;48;52;31;69;53;69;51;31;48;51;52;53;63;69;69
14;23;31;26;11;13;16;17;17;20;22;27;36;27;16;17;17;20;22;27;27;36
0;3;32;9;22;40;9;24;15;31;45;52;26;49;9;15;24;26;31;45;49;52
38;19;6;36;28;44;64;75;28;61;33;37;64;65;28;33;37;61;64;64;65;75
15;25;42;24;8;18;17;19;24;35;34;43;24;24;17;19;24;24;24;34;35;43
7;17;43;40;21;2;21;8;29;9;47;39;50;33;8;9;21;29;33;39;47;50
49;0;20;35;45;35;93;67;43;18;54;55;65;53;18;43;53;54;55;65;67;93
36;41;18;15;49;18;66;40;88;56;63;22;54;19;19;22;40;54;56;63;66;88
18;13;37;47;41;11;49;13;51;18;59;41;78;39;13;18;39;41;49;51;59;78
42;7;43;6;15;14;37;44;21;15;55;57;12;5;5;12;15;21;37;44;55;57
44;23;40;47;3;40;41;69;26;57;28;73;31;79;26;28;31;41;57;69;73;79
39;20;30;15;31;37;57;64;31;50;48;51;31;45;31;31;45;48;50;51;57;64
2;9;36;12;8;22;3;19;7;13;31;55;14;23;3;7;13;14;19;23;31;55
23;15;14;15;34;30;57;42;44;29;44;31;36;42;29;31;36;42;42;44;44;57
6;32;30;8;41;31;32;21;61;52;53;49;44;21;21;21;32;44;49;52;53;61
26;5;5;43;35;20;60;26;22;24;34;16;77;49;16;22;24;26;34;49;60;77
43;5;12;42;14;7;43;31;1;12;13;12;44;46;1;12;12;13;31;43;44;46
44;24;46;37;8;36;39;60;20;47;45;62;43;64;20;39;43;45;47;60;62;64
0;35;15;31;7;18;-11;0;38;45;19;18;20;43;-11;0;18;19;20;38;43;45
31;11;39;0;18;23;35;40;29;18;37;43;-2;19;-2;18;19;29;35;37;40;43
35;47;18;17;41;5;60;33;85;44;56;11;38;19;11;19;33;38;44;56;60;85
39;37;30;25;3;0;22;20;39;28;28;29;12;20;12;20;20;22;28;28;29;39
15;22;13;19;12;19;17;16;30;36;7;16;29;21;7;16;16;17;21;29;30;36
25;12;29;7;38;32;47;41;34;34;61;57;31;33;31;33;34;34;41;47;57;61
40;34;49;48;26;22;59;43;50;42;64;60;72;65;42;43;50;59;60;64;65;72
8;37;34;13;4;17;0;13;35;44;24;40;6;26;0;6;13;24;26;35;40;44
44;12;13;14;43;25;74;68;54;26;51;38;37;23;23;26;37;38;51;54;68;74
14;43;44;49;40;28;43;22;67;51;65;63;78;59;22;43;51;59;63;65;67;78
4;24;31;16;27;7;19;-9;33;21;44;21;23;3;-9;3;19;21;21;23;33;44
0;3;46;39;24;14;13;13;8;9;67;47;51;47;8;9;13;13;47;47;51;67
34;12;42;44;30;17;58;31;33;21;70;58;68;53;21;31;33;53;58;58;68;70
9;35;49;32;37;13;41;17;72;36;82;55;55;26;17;26;36;41;55;55;72;82
35;47;33;25;15;43;31;78;60;83;35;60;30;61;30;31;35;60;60;61;78;83
2;26;23;45;6;7;0;-9;20;28;11;16;33;43;-9;0;11;16;20;28;33;43
43;42;46;37;24;37;52;71;65;73;58;79;56;68;52;56;58;65;68;71;73;79
48;48;34;44;34;15;71;50;62;61;51;29;78;41;29;41;50;51;61;62;71;78
4;37;48;36;10;4;3;-7;35;22;53;48;36;37;-7;3;22;35;36;37;48;53
47;18;15;27;17;13;60;49;15;17;12;13;24;31;12;13;15;17;24;31;49;60
2;46;0;35;26;8;10;-6;53;41;10;-12;57;40;-12;-6;10;10;40;41;53;57
43;24;46;26;19;16;60;47;24;23;48;45;31;23;23;23;24;31;45;47;48;60
12;16;33;29;24;42;31;54;38;40;42;70;42;52;31;38;40;42;42;52;54;70
48;15;11;29;31;46;74;81;28;41;33;44;58;69;28;33;41;44;58;69;74;81
11;23;11;10;38;27;35;19;47;37;46;37;29;30;19;29;30;35;37;37;46;47
5;1;22;11;47;13;47;15;35;10;51;18;45;14;10;14;15;18;35;45;47;51
41;35;19;11;7;23;36;60;30;47;24;32;2;15;2;15;24;30;32;36;47;60
17;46;49;9;45;40;48;41;81;83;88;70;34;32;32;34;41;48;70;81;83;88
48;38;27;49;2;24;42;63;20;61;11;34;38;69;11;20;34;38;42;61;63;69
19;17;13;15;23;26;39;44;29;29;25;33;32;38;25;29;29;32;33;38;39;44
13;1;12;37;24;46;21;51;25;44;36;53;44;83;21;25;36;44;44;51;53;83
15;10;20;11;18;8;25;9;10;4;19;13;15;0;0;4;9;10;13;15;19;25
18;35;26;23;41;41;55;45;67;75;67;49;60;61;45;49;55;60;61;67;67;75
3;48;25;2;15;34;6;33;57;75;20;45;0;32;0;6;20;32;33;45;57;75
4;42;17;1;16;37;16;33;45;79;26;37;3;32;3;16;26;32;33;37;45;79
8;32;44;42;34;14;28;15;46;42;58;41;74;45;15;28;41;42;45;46;58;74
48;17;8;3;36;29;73;73;47;43;30;36;30;12;12;30;30;36;43;47;73;73
28;24;4;42;29;17;47;25;37;24;17;5;69;47;5;17;24;25;37;47;47;69
33;33;14;39;29;17;55;35;54;36;28;22;50;40;22;28;35;36;40;50;54;55
49;10;37;35;37;15;85;56;31;19;54;52;56;45;19;31;45;52;54;56;56;85
42;49;10;36;40;19;63;58;82;58;49;20;70;49;20;49;49;58;58;63;70;82
20;23;21;20;0;23;13;33;15;27;15;32;14;41;13;14;15;15;27;32;33;41
29;40;38;34;21;19;36;28;41;44;39;45;43;48;28;36;39;41;43;44;45;48
8;5;48;0;15;28;4;17;14;30;60;58;7;8;4;7;8;14;17;30;58;60
49;37;2;7;11;16;55;58;42;48;0;13;16;3;0;3;13;16;42;48;55;58
38;48;20;7;19;47;55;70;52;95;24;61;10;41;10;24;41;52;55;61;70;95
44;37;18;43;49;36;75;64;75;58;59;54;79;63;54;58;59;63;64;75;75;79
2;2;6;13;38;16;30;15;21;-1;36;15;47;29;-1;15;15;21;29;30;36;47
30;36;12;19;2;34;22;52;31;50;12;26;18;39;12;18;22;26;31;39;50;52
1;19;49;21;27;15;10;3;34;20;70;61;33;28;3;10;20;28;33;34;61;70
31;47;44;2;26;0;46;23;62;27;56;30;10;-7;-7;10;23;27;30;46;56;62
8;12;21;20;11;15;17;19;12;18;13;17;18;16;12;13;16;17;17;18;18;19
10;12;13;43;6;31;2;26;-2;39;6;32;48;55;-2;2;6;26;32;39;48;55
43;1;43;37;6;3;45;38;0;0;34;38;37;31;0;0;31;34;37;38;38;45
33;9;5;28;34;16;58;40;28;17;36;1;62;24;1;17;24;28;36;40;58;62
46;38;9;10;11;4;51;49;47;31;17;9;9;11;9;9;11;17;31;47;49;51
48;18;41;20;14;3;59;33;12;1;50;32;14;19;1;12;14;19;32;33;50;59
45;8;10;23;30;40;62;81;20;43;25;47;46;48;20;25;43;46;47;48;62;81
46;49;11;26;42;41;83;80;84;79;49;48;63;48;48;48;49;63;79;80;83;84
34;40;16;20;33;18;60;39;57;56;48;17;34;38;17;34;38;39;48;56;57;60
43;23;9;18;17;3;51;45;24;22;23;-1;16;17;-1;16;17;22;23;24;45;51
41;1;41;11;28;17;58;51;10;15;59;58;27;20;10;15;20;27;51;58;58;59
16;33;6;12;36;46;51;44;54;73;30;33;33;45;30;33;33;44;45;51;54;73
47;27;10;10;34;1;69;45;60;20;36;1;39;0;0;1;20;36;39;45;60;69
9;12;32;18;46;45;39;35;50;54;62;77;62;61;35;39;50;54;61;62;62;77
1;14;5;3;11;35;-4;16;16;44;-2;36;1;38;-4;-2;1;16;16;36;38;44
10;7;19;30;41;39;50;41;32;46;53;56;65;63;32;41;46;50;53;56;63;65
14;45;43;41;0;47;10;52;31;91;39;81;41;80;10;31;39;41;52;80;81;91
39;4;18;32;34;19;59;48;29;16;45;18;48;42;16;18;29;42;45;48;48;59
45;33;46;41;44;3;75;46;72;24;74;44;73;30;24;30;44;46;72;73;74;75
13;8;31;48;7;12;11;21;2;13;32;32;43;51;2;11;13;21;32;32;43;51
3;39;34;1;18;37;14;23;49;74;41;52;18;23;14;18;23;23;41;49;52;74
44;45;35;37;42;23;81;55;74;51;71;39;77;50;39;50;51;55;71;74;77;81
15;37;12;31;36;44;36;52;57;76;30;37;62;64;30;36;37;52;57;62;64;76
26;7;16;34;8;33;31;52;0;39;23;29;27;58;0;23;27;29;31;39;52;58
35;42;17;48;32;13;49;31;70;43;47;13;64;60;13;31;43;47;49;60;64;70
19;36;16;18;2;28;2;29;20;51;9;41;10;29;2;9;10;20;29;29;41;51
42;5;47;33;43;9;82;50;38;-3;82;43;75;27;-3;27;38;43;50;75;82;82
48;5;23;12;49;46;97;82;36;31;55;55;53;40;31;36;40;53;55;55;82;97
8;7;42;2;32;41;23;31;29;44;73;65;15;29;15;23;29;29;31;44;65;73
42;11;23;23;40;9;80;31;31;12;61;26;56;20;12;20;26;31;31;56;61;80
15;16;8;37;49;2;56;10;53;13;40;-3;80;36;-3;10;13;36;40;53;56;80
13;41;35;7;35;24;33;26;62;59;57;51;32;13;13;26;32;33;51;57;59;62
26;36;43;3;45;8;51;26;61;31;68;33;32;11;11;26;31;32;33;51;61;68
30;46;48;27;3;7;14;18;31;50;42;54;23;25;14;18;23;25;31;42;50;54
20;6;46;42;4;45;6;57;-4;51;38;79;31;70;-4;6;31;38;51;57;70;79
26;40;47;23;18;32;26;50;46;52;65;64;36;45;26;36;45;46;50;52;64;65
37;49;23;46;48;41;73;76;78;77;66;56;82;77;56;66;73;76;77;77;78;82
48;34;0;16;15;48;60;80;31;73;10;43;24;61;10;24;31;43;60;61;73;80
33;32;32;30;42;30;67;48;59;59;59;60;63;56;48;56;59;59;59;60;63;67
43;2;13;36;41;1;71;24;29;-9;50;-4;73;30;-9;-4;24;29;30;50;71;73
33;18;4;14;25;34;47;63;37;43;20;38;24;45;20;24;37;38;43;45;47;63
26;43;8;10;9;34;26;42;41;66;13;34;3;42;3;13;26;34;41;42;42;66
25;30;29;7;34;17;56;24;49;36;60;38;29;6;6;24;29;36;38;49;56;60
16;6;4;29;22;5;23;9;26;0;7;-6;35;22;-6;0;7;9;22;23;26;35
1;4;2;49;6;0;-7;-7;3;-9;-9;-16;39;47;-16;-9;-9;-7;-7;3;39;47
10;0;39;22;45;3;39;-4;39;-13;82;39;59;9;-13;-4;9;39;39;39;59;82
17;7;34;15;31;3;44;5;33;6;46;21;31;18;5;6;18;21;31;33;44;46
32;40;45;48;3;41;19;71;42;76;36;80;32;83;19;32;36;42;71;76;80;83
28;45;41;32;46;14;63;26;82;58;76;53;67;43;26;43;53;58;63;67;76;82
30;43;41;31;38;22;48;45;61;55;61;50;65;52;45;48;50;52;55;61;61;65
15;22;1;39;7;35;13;43;9;37;-12;22;42;62;-12;9;13;22;37;42;43;62
22;34;41;18;22;10;30;24;45;29;44;47;20;12;12;20;24;29;30;44;45;47
38;27;17;1;26;9;62;30;38;25;42;9;14;-8;-8;9;14;25;30;38;42;62
39;11;0;8;19;35;39;54;19;42;1;31;12;34;1;12;19;31;34;39;42;54
32;3;7;5;35;18;50;39;30;15;36;8;33;12;8;12;15;30;33;36;39;50
28;49;44;49;37;3;46;31;76;43;64;45;70;51;31;43;45;46;51;64;70;76
42;10;1;17;3;47;36;89;-4;49;-10;42;8;47;-10;-4;8;36;42;47;49;89
11;5;40;22;27;27;22;32;32;19;54;62;37;31;19;22;31;32;32;37;54;62
11;20;21;25;38;20;31;24;47;27;56;39;57;26;24;26;27;31;39;47;56;57
12;22;22;41;11;33;21;42;13;52;26;39;40;55;13;21;26;39;40;42;52;55
6;8;24;43;14;10;20;11;18;-1;32;31;51;37;-1;11;18;20;31;32;37;51
9;33;13;35;4;17;-6;25;31;41;-3;15;28;48;-6;-3;15;25;28;31;41;48
10;44;32;24;9;0;6;1;44;28;32;12;30;7;1;6;7;12;28;30;32;44
29;40;45;4;31;33;52;61;57;64;67;72;24;32;24;32;52;57;61;64;67;72
11;21;15;42;48;9;56;2;60;27;61;23;75;33;2;23;27;33;56;60;61;75
13;3;14;32;15;1;18;13;11;-11;18;7;31;30;-11;7;11;13;18;18;30;31
27;6;27;33;40;40;55;54;27;33;54;56;71;72;27;33;54;54;55;56;71;72
5;2;19;38;34;30;19;17;31;13;36;42;70;52;13;17;19;31;36;42;52;70
31;23;10;16;49;4;71;24;72;9;42;-4;63;7;-4;7;9;24;42;63;71;72
30;37;12;46;36;49;57;64;62;72;43;54;75;94;43;54;57;62;64;72;75;94
43;38;2;24;0;49;33;82;24;83;-12;36;8;53;-12;8;24;33;36;53;82;83
19;32;27;43;8;15;18;28;34;27;22;38;45;38;18;22;27;28;34;38;38;45
31;17;24;24;16;47;32;78;20;62;35;70;30;51;20;30;32;35;51;62;70;78
8;22;23;24;45;3;42;-5;60;24;67;26;62;18;-5;18;24;26;42;60;62;67
17;44;18;10;48;17;47;29;89;46;51;22;45;21;21;22;29;45;46;47;51;89
37;35;36;22;21;7;38;42;42;41;55;33;27;11;11;27;33;38;41;42;42;55
49;40;37;10;39;24;88;68;68;55;67;56;34;19;19;34;55;56;67;68;68;88
38;15;26;23;21;14;44;50;19;15;44;30;39;30;15;19;30;30;39;44;44;50
32;16;26;9;46;38;75;70;48;40;58;64;42;34;34;40;42;48;58;64;70;75
38;17;29;30;45;3;73;27;61;7;73;27;75;20;7;20;27;27;61;73;73;75
25;46;23;11;38;19;56;29;73;56;54;25;44;10;10;25;29;44;54;56;56;73
32;5;17;42;49;6;75;35;54;2;47;18;85;40;2;18;35;40;47;54;75;85
28;21;29;16;7;49;34;59;24;64;25;74;18;50;18;24;25;34;50;59;64;74
44;44;6;1;49;36;84;74;84;78;40;23;50;23;23;23;40;50;74;78;84;84
33;3;16;6;20;0;51;23;14;-6;36;16;9;0;-6;0;9;14;16;23;36;51
6;5;13;37;40;1;39;6;30;-5;36;5;63;31;-5;5;6;30;31;36;39;63
36;8;47;15;16;38;52;65;12;26;47;80;22;38;12;22;26;38;47;52;65;80
8;30;11;18;40;38;37;28;70;60;39;40;42;56;28;37;39;40;42;56;60;70
12;44;9;1;46;3;52;5;80;35;53;4;42;1;1;4;5;35;42;52;53;80
19;9;49;27;31;41;33;56;35;40;79;81;54;66;33;35;40;54;56;66;79;81
37;20;37;1;6;2;40;33;24;18;39;33;-10;-11;-11;-10;18;24;33;33;39;40
3;20;48;17;0;28;1;15;10;45;44;62;8;26;1;8;10;15;26;44;45;62
49;37;6;10;7;49;55;87;43;76;-5;36;0;45;-5;0;36;43;45;55;76;87
18;1;4;6;11;3;14;19;-2;-7;-2;4;15;5;-7;-2;-2;4;5;14;15;19
26;32;18;20;15;48;37;70;37;69;22;58;16;57;16;22;37;37;57;58;69;70
3;28;13;43;14;5;-3;7;36;30;20;-2;45;37;-3;-2;7;20;30;36;37;45
16;34;9;18;35;12;40;11;57;41;25;16;36;20;11;16;20;25;36;40;41;57
5;44;12;47;22;4;27;2;52;35;26;-1;58;46;-1;2;26;27;35;46;52;58
27;12;32;20;36;32;58;42;46;43;60;56;40;39;39;40;42;43;46;56;58;60
26;44;41;38;0;46;26;65;27;85;27;78;27;68;26;27;27;27;65;68;78;85
10;28;7;21;40;16;36;10;61;40;38;5;49;35;5;10;35;36;38;40;49;61
41;43;44;15;20;13;41;36;45;43;53;38;22;20;20;22;36;38;41;43;45;53
17;10;22;49;1;39;18;56;9;46;18;42;32;79;9;18;18;32;42;46;56;79
24;24;33;39;48;15;52;23;54;32;79;35;74;46;23;32;35;46;52;54;74;79
37;32;34;48;44;41;80;74;60;73;66;75;79;87;60;66;73;74;75;79;80;87
18;48;18;7;49;3;66;5;83;50;52;6;42;-1;-1;5;6;42;50;52;66;83
23;24;21;35;23;49;44;67;34;69;33;54;39;71;33;34;39;44;54;67;69;71
49;46;31;19;14;49;52;85;48;78;44;70;24;50;24;44;48;50;52;70;78;85
7;49;15;30;30;48;26;53;71;82;34;50;48;73;26;34;48;50;53;71;73;82
41;45;10;9;44;0;65;29;82;36;43;10;42;9;9;10;29;36;42;43;65;82
9;37;18;10;34;39;37;29;69;58;49;43;25;46;25;29;37;43;46;49;58;69
19;45;25;7;44;16;56;28;80;51;50;27;45;12;12;27;28;45;50;51;56;80
22;7;14;22;37;25;43;44;34;31;49;37;56;33;31;33;34;37;43;44;49;56
32;0;43;31;8;31;37;63;-7;15;32;74;38;46;-7;15;32;37;38;46;63;74
19;1;31;8;31;23;40;30;20;4;55;48;36;24;4;20;24;30;36;40;48;55
23;19;49;29;2;2;10;11;13;14;40;46;15;24;10;11;13;14;15;24;40;46
0;12;13;3;7;23;1;17;19;31;13;36;-6;7;-6;1;7;13;17;19;31;36
6;2;21;10;41;21;33;20;42;22;61;38;48;14;14;20;22;33;38;42;48;61
23;40;28;9;19;6;41;15;54;35;42;29;25;1;1;15;25;29;35;41;42;54
47;21;6;15;35;15;79;49;36;20;39;4;41;28;4;20;28;36;39;41;49;79
32;45;20;20;12;37;33;52;49;68;20;49;26;42;20;26;33;42;49;49;52;68
18;22;41;14;18;15;29;32;21;21;39;56;17;16;16;17;21;21;29;32;39;56
1;42;1;26;6;34;6;25;46;68;2;20;14;42;2;6;14;20;25;42;46;68
26;43;37;22;6;29;28;51;49;61;31;59;15;50;15;28;31;49;50;51;59;61
22;16;49;19;45;22;67;32;54;28;81;59;60;28;28;28;32;54;59;60;67;81
17;18;5;6;43;40;48;37;59;54;36;29;49;44;29;36;37;44;48;49;54;59
4;45;25;3;10;38;9;30;36;75;22;62;7;30;7;9;22;30;30;36;62;75
9;49;12;29;27;8;20;-3;72;37;30;14;56;34;-3;14;20;30;34;37;56;72
47;41;18;42;34;42;77;75;73;70;44;59;59;67;44;59;59;67;70;73;75;77
8;44;38;11;2;40;3;29;35;69;33;67;-1;36;-1;3;29;33;35;36;67;69
10;18;49;28;19;30;19;27;30;35;53;60;42;44;19;27;30;35;42;44;53;60
39;6;1;38;10;6;30;29;15;7;-1;7;46;25;-1;7;7;15;25;29;30;46
2;24;33;30;7;29;3;28;19;33;28;44;27;58;3;19;27;28;28;33;44;58
49;28;12;22;25;1;74;50;48;10;20;-6;34;20;-6;10;20;20;34;48;50;74
1;23;1;33;1;18;2;17;16;36;-4;15;21;48;-4;2;15;16;17;21;36;48
6;38;31;43;48;9;40;-2;84;38;66;21;72;48;-2;21;38;40;48;66;72;84
31;27;3;2;12;6;29;19;38;31;6;7;6;1;1;6;6;7;19;29;31;38
33;35;35;45;19;28;49;59;52;45;42;50;61;54;42;45;49;50;52;54;59;61
23;16;47;22;46;11;59;15;60;25;87;45;61;29;15;25;29;45;59;60;61;87
23;38;4;33;18;43;22;64;53;66;22;42;32;65;22;22;32;42;53;64;65;66
9;0;24;49;17;22;18;27;5;3;21;38;60;51;3;5;18;21;27;38;51;60
27;43;45;21;0;38;22;53;40;67;44;70;9;48;9;22;40;44;48;53;67;70
12;4;12;27;6;30;7;28;5;34;-2;28;29;37;-2;5;7;28;28;29;34;37
41;11;10;16;28;3;61;38;35;12;38;9;24;11;9;11;12;24;35;38;38;61
45;26;28;5;37;44;78;89;46;61;54;57;22;34;22;34;46;54;57;61;78;89
5;22;24;28;27;7;32;9;37;21;32;23;51;32;9;21;23;32;32;32;37;51
6;49;10;44;1;13;2;17;40;55;-4;6;44;49;-4;2;6;17;40;44;49;55
27;28;49;31;14;42;27;55;25;66;53;80;28;56;25;27;28;53;55;56;66;80
15;35;33;23;18;8;22;14;42;26;44;28;21;11;11;14;21;22;26;28;42;44
20;27;45;42;9;37;11;49;27;64;47;65;40;79;11;27;40;47;49;64;65;79
1;21;26;17;9;24;-8;24;28;25;17;33;21;24;-8;17;21;24;24;25;28;33
28;17;7;10;25;41;50;51;33;58;29;41;21;45;21;29;33;41;45;50;51;58
1;41;31;34;23;42;22;34;62;80;43;53;41;63;22;34;41;43;53;62;63;80
25;19;19;1;40;49;57;58;57;67;48;54;33;42;33;42;48;54;57;57;58;67
11;12;49;46;24;34;24;34;33;42;57;74;55;80;24;33;34;42;55;57;74;80
25;4;26;49;36;42;46;47;24;41;47;68;65;72;24;41;46;47;47;65;68;72
42;32;40;5;20;22;48;64;45;50;48;42;7;9;7;9;42;45;48;48;50;64
41;8;23;18;9;44;49;73;2;47;24;50;23;50;2;23;24;47;49;50;50;73
23;18;45;15;37;24;56;36;36;31;67;62;33;39;31;33;36;36;39;56;62;67
43;2;20;34;46;42;72;84;48;40;62;47;62;71;40;47;48;62;62;71;72;84
20;29;20;36;28;21;28;37;46;37;44;32;58;53;28;32;37;37;44;46;53;58
38;30;35;3;12;41;46;71;22;64;30;71;2;39;2;22;30;39;46;64;71;71
4;48;5;29;20;9;4;13;53;44;19;6;41;34;4;6;13;19;34;41;44;53
22;11;14;44;34;41;53;44;36;41;39;37;75;85;36;37;39;41;44;53;75;85
27;27;1;37;44;18;52;39;57;35;38;1;62;42;1;35;38;39;42;52;57;62
48;8;39;13;34;11;74;39;28;5;70;31;29;6;5;6;28;29;31;39;70;74
47;0;32;4;33;4;79;42;21;-3;54;17;34;0;-3;0;17;21;34;42;54;79
39;49;7;40;12;45;32;73;46;74;17;47;52;72;17;32;46;47;52;72;73;74
11;14;34;6;40;35;48;32;48;32;58;55;26;24;24;26;32;32;48;48;55;58
48;14;5;7;24;13;60;56;36;25;19;11;28;15;11;15;19;25;28;36;56;60
13;40;19;20;44;47;55;43;76;67;60;54;47;65;43;47;54;55;60;65;67;76
13;49;0;21;0;18;3;20;30;47;-18;10;7;19;-18;3;7;10;19;20;30;47
22;5;39;44;33;1;42;8;22;-6;71;38;62;35;-6;8;22;35;38;42;62;71
3;47;0;17;42;33;40;36;82;61;28;32;59;46;28;32;36;40;46;59;61;82
14;48;4;49;14;38;9;39;55;78;8;25;59;75;8;9;25;39;55;59;75;78
17;0;38;24;15;29;23;45;12;23;52;47;39;50;12;23;23;39;45;47;50;52
10;31;17;46;23;48;20;44;35;75;21;54;63;78;20;21;35;44;54;63;75;78
0;4;25;9;35;24;32;13;19;18;43;47;44;20;13;18;19;20;32;43;44;47
45;14;11;1;25;33;69;65;32;35;17;40;11;22;11;17;22;32;35;40;65;69
46;41;43;34;24;17;57;48;55;50;66;43;51;39;39;43;48;50;51;55;57;66
3;33;26;47;25;31;22;30;56;54;45;37;61;60;22;30;37;45;54;56;60;61
1;43;41;25;10;49;-9;46;52;73;44;86;31;58;-9;31;44;46;52;58;73;86
29;17;14;12;6;39;22;49;21;49;20;41;0;44;0;20;21;22;41;44;49;49
34;29;39;5;43;33;66;48;66;49;67;61;36;27;27;36;48;49;61;66;66;67
46;19;11;22;27;12;56;57;26;20;35;13;47;23;13;20;23;26;35;47;56;57
25;27;35;23;15;26;25;45;29;53;34;45;38;46;25;29;34;38;45;45;46;53
8;14;48;34;1;30;-4;35;7;40;49;69;24;45;-4;7;24;35;40;45;49;69
5;4;12;8;34;11;25;11;35;-5;35;13;42;11;-5;11;11;13;25;35;35;42
13;49;47;32;37;14;41;22;74;52;68;50;53;38;22;38;41;50;52;53;68;74
46;19;29;18;1;33;47;62;12;45;27;43;15;51;12;15;27;43;45;47;51;62
1;23;49;17;40;46;37;34;44;49;70;95;48;56;34;37;44;48;49;56;70;95
9;38;19;7;15;20;17;15;51;49;29;35;9;18;9;15;17;18;29;35;49;51
0;39;43;30;43;25;31;25;73;49;70;48;59;49;25;31;48;49;49;59;70;73
3;8;40;10;31;9;14;-3;35;10;64;36;21;13;-3;10;13;14;21;35;36;64
27;8;28;48;39;31;64;52;29;28;66;57;75;66;28;29;52;57;64;66;66;75
21;13;8;35;17;20;29;35;16;25;5;16;46;55;5;16;16;25;29;35;46;55
32;0;5;39;46;33;68;49;44;28;36;24;84;61;24;28;36;44;49;61;68;84
19;17;4;40;4;29;17;30;5;31;7;15;29;64;5;7;15;17;29;30;31;64
27;29;41;12;13;48;29;74;35;57;48;82;23;42;23;29;35;42;48;57;74;82
44;3;24;33;12;39;36;83;12;28;16;47;37;66;12;16;28;36;37;47;66;83
15;21;34;10;35;7;38;12;36;9;66;28;25;13;9;12;13;25;28;36;38;66
3;10;48;49;20;25;14;28;29;27;61;64;63;68;14;27;28;29;61;63;64;68
20;5;39;31;1;41;17;53;2;42;38;61;14;65;2;14;17;38;42;53;61;65
25;44;2;48;37;32;47;52;68;63;36;30;84;68;30;36;47;52;63;68;68;84
39;29;49;3;46;19;72;56;63;44;88;65;29;3;3;29;44;56;63;65;72;88
41;21;21;17;44;6;76;44;62;26;64;18;57;23;18;23;26;44;57;62;64;76
13;28;10;12;14;17;7;15;40;37;23;16;7;16;7;7;15;16;16;23;37;40
8;8;36;29;33;29;31;31;40;36;61;54;61;48;31;31;36;40;48;54;61;61
2;34;0;2;11;12;9;13;37;44;8;9;7;1;1;7;8;9;9;13;37;44
35;45;38;20;18;30;53;55;58;57;44;64;36;49;36;44;49;53;55;57;58;64
38;31;0;25;31;1;55;31;61;30;12;1;42;25;1;12;25;30;31;42;55;61
37;7;27;34;4;29;33;47;-5;28;18;47;21;46;-5;18;21;28;33;46;47;47
