q0p0;q0p1;q0p2;q0p3;q1p0;q1p1;q1p2;q1p3;s[0, 4];s[0, 5];s[0, 6];s[0, 7];s[1, 4];s[1, 5];s[1, 6];s[1, 7];s[2, 4];s[2, 5];s[2, 6];s[2, 7];s[3, 4];s[3, 5];s[3, 6];s[3, 7];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11;cost_ranking 12;cost_ranking 13;cost_ranking 14;cost_ranking 15
14;21;35;19;6;22;30;7;12;29;38;21;24;36;42;16;30;55;52;37;9;41;33;20;9;12;16;20;21;24;29;30;33;36;37;38;41;42;52;55
30;10;7;7;30;27;19;46;40;41;35;68;26;28;10;37;31;34;12;41;19;15;17;45;10;12;15;17;19;26;28;31;34;35;37;40;41;41;45;68
17;40;38;45;45;26;23;15;51;42;40;12;70;63;50;50;81;62;44;50;77;57;62;43;12;40;42;43;44;50;50;50;51;57;62;62;63;70;77;81
6;40;12;1;39;36;16;22;25;34;9;17;76;71;51;42;43;48;20;27;39;22;0;17;0;9;17;17;20;22;25;27;34;39;42;43;48;51;71;76
5;10;13;40;10;23;44;27;7;19;37;12;4;27;45;19;20;31;41;33;38;61;78;56;4;7;12;19;19;20;27;31;33;37;38;41;45;56;61;78
19;48;18;25;19;39;7;29;32;50;19;38;65;70;48;64;20;56;21;47;42;55;14;49;14;19;20;21;32;38;42;47;48;49;50;55;56;64;65;70
14;46;42;0;41;9;13;18;52;20;21;29;76;52;47;47;66;35;36;46;29;-2;6;5;-2;5;6;20;21;29;29;35;36;46;47;47;52;52;66;76
29;18;14;33;36;20;40;25;45;47;64;39;48;30;40;37;36;25;37;24;56;47;69;42;24;25;30;36;37;37;39;40;42;45;47;47;48;56;64;69
2;46;17;44;42;35;37;17;34;33;22;6;81;61;71;47;45;37;51;21;68;70;74;41;6;21;22;33;34;37;41;45;47;51;61;68;70;71;74;81
0;45;36;13;22;39;1;49;20;35;-2;33;59;64;45;74;46;72;26;71;16;45;14;62;-2;14;16;20;26;33;35;45;45;46;59;62;64;71;72;74
6;23;27;30;23;25;19;14;15;21;11;5;37;44;27;31;49;39;31;37;48;41;31;30;5;11;15;21;27;30;31;31;31;37;37;39;41;44;48;49
6;16;4;11;34;30;40;7;26;17;38;8;48;46;51;23;29;20;26;11;29;38;43;-1;-1;8;11;17;20;23;26;26;29;29;38;38;43;46;48;51
8;45;1;21;19;36;44;17;12;37;50;6;53;79;74;57;11;33;39;4;20;53;46;18;4;6;11;12;18;20;33;37;39;46;50;53;53;57;74;79
22;12;37;30;37;47;32;23;56;67;47;42;49;57;42;27;62;77;64;47;66;68;60;47;27;42;42;47;47;47;49;56;57;60;62;64;66;67;68;77
14;35;48;42;37;29;31;38;49;38;39;32;67;55;57;59;66;61;59;84;74;59;67;65;32;38;39;49;55;57;59;59;59;61;65;66;67;67;74;84
6;19;29;1;3;0;35;17;-3;-8;35;8;10;16;41;28;12;29;59;33;-1;-12;23;-2;-12;-8;-3;-2;-1;8;10;12;16;23;28;29;33;35;41;59
16;38;38;46;31;27;42;39;45;41;46;44;49;46;72;66;61;47;67;65;60;53;83;65;41;44;45;46;46;47;49;53;60;61;65;65;66;67;72;83
43;10;49;30;18;1;36;47;44;43;61;73;15;3;41;57;67;38;79;82;37;11;48;68;3;11;15;37;38;41;43;44;48;57;61;67;68;73;79;82
31;5;9;23;11;40;13;44;23;59;41;67;4;31;14;44;8;33;20;49;14;58;25;65;4;8;14;14;20;23;25;31;33;41;44;49;58;59;65;67
30;29;20;36;7;42;11;4;22;56;33;24;33;69;21;15;26;61;16;5;24;62;36;26;5;15;16;21;22;24;24;26;26;33;33;36;56;61;62;69
21;17;22;13;17;16;4;40;19;28;20;52;33;28;2;57;36;34;10;60;15;23;15;36;2;10;15;15;19;20;23;28;28;33;34;36;36;52;57;60
18;28;28;25;43;48;19;26;50;59;22;38;56;63;33;36;65;63;44;35;52;60;29;48;22;29;33;35;36;38;44;48;50;52;56;59;60;63;63;65
49;6;42;2;42;40;32;40;72;85;79;71;45;30;29;33;78;69;64;62;35;33;31;41;29;30;31;33;33;35;41;45;62;64;69;71;72;78;79;85
15;12;10;45;16;9;44;22;14;8;58;36;19;6;53;17;13;18;41;28;52;47;83;55;6;8;13;14;17;18;19;28;36;41;47;52;53;55;58;83
6;49;46;40;43;36;0;8;49;29;0;-3;84;73;29;42;81;80;41;41;73;63;35;28;-3;0;28;29;29;35;41;41;42;49;63;73;73;80;81;84
35;23;4;10;30;37;6;34;63;60;30;69;41;55;10;38;16;37;8;27;35;36;3;44;3;8;10;16;27;30;35;36;37;38;41;44;55;60;63;69
0;20;14;9;3;30;19;12;0;13;-1;3;20;41;38;23;6;44;21;10;5;28;22;4;-1;0;3;4;5;6;10;13;20;21;22;23;28;38;41;44
41;18;36;48;6;15;47;40;41;37;78;62;15;14;49;48;26;50;73;62;43;44;87;86;14;15;26;37;41;43;44;48;49;50;62;62;73;78;86;87
8;10;0;30;42;40;10;35;45;33;6;35;48;36;16;34;33;26;10;33;54;53;35;64;6;10;16;26;33;33;33;34;35;35;36;45;48;53;54;64
32;28;4;18;9;12;8;31;31;27;26;54;19;37;31;45;10;12;7;20;15;16;10;35;7;10;10;12;15;16;19;20;26;27;31;31;35;37;45;54
33;24;17;20;23;3;27;7;42;29;43;28;39;13;34;23;24;0;42;20;43;21;34;20;0;13;20;20;21;23;24;28;29;34;34;39;42;42;43;43
36;19;34;19;26;47;10;24;43;76;39;47;25;53;19;35;52;73;31;41;25;52;10;30;10;19;25;25;30;31;35;39;41;43;47;52;52;53;73;76
48;33;40;23;47;14;37;18;79;43;79;64;76;41;59;45;78;36;59;48;51;36;59;37;36;36;37;41;43;45;48;51;59;59;59;64;76;78;79;79
25;37;1;41;1;48;35;16;19;59;47;37;24;74;61;44;-6;38;17;4;37;79;70;55;-6;4;17;19;24;37;37;38;44;47;55;59;61;70;74;79
4;45;16;6;10;41;10;25;4;45;-3;25;38;66;46;64;6;55;8;21;2;46;-4;23;-4;-3;2;4;6;8;21;23;25;38;45;46;46;55;64;66
8;28;11;42;16;26;5;30;5;29;-3;19;39;43;26;50;9;20;12;39;47;57;47;53;-3;5;9;12;19;20;26;29;39;39;43;47;47;50;53;57
2;47;12;44;43;30;6;14;26;18;-2;1;90;63;47;45;55;24;11;9;87;73;50;51;-2;1;9;11;18;24;26;45;47;50;51;55;63;73;87;90
24;34;18;17;24;19;37;17;44;23;60;22;41;37;70;31;25;22;41;17;33;17;36;22;17;17;22;22;22;23;25;31;33;36;37;41;41;44;60;70
28;45;0;10;47;7;17;35;66;28;40;57;88;40;57;76;37;7;11;28;48;-1;16;26;-1;7;11;16;26;28;28;37;40;40;48;57;57;66;76;88
7;23;46;12;44;38;23;37;37;45;28;34;59;61;32;56;72;64;65;82;50;36;24;48;24;28;32;34;36;37;45;48;50;56;59;61;64;65;72;82
27;30;12;21;0;32;18;1;10;39;33;23;30;42;44;25;-5;27;10;-3;11;40;27;15;-5;-3;10;10;11;15;23;25;27;27;30;33;39;40;42;44
39;47;33;16;48;29;26;30;73;55;53;51;92;57;60;77;65;50;44;61;60;35;33;34;33;34;35;44;50;51;53;55;57;60;60;61;65;73;77;92
14;49;25;40;20;49;3;17;17;59;14;14;62;80;34;48;32;61;13;24;41;80;25;56;13;14;14;17;24;25;32;34;41;48;56;59;61;62;80;80
27;42;35;21;34;32;27;16;58;53;47;40;73;54;66;46;49;51;52;46;49;40;42;22;22;40;40;42;46;46;47;49;49;51;52;53;54;58;66;73
14;35;18;23;33;45;33;23;28;54;45;36;62;67;53;39;46;43;40;38;37;48;40;33;28;33;36;37;38;39;40;40;43;45;46;48;53;54;62;67
11;44;6;38;35;5;39;44;36;1;36;46;67;45;71;70;26;6;45;32;64;25;72;76;1;6;25;26;32;36;36;45;45;46;64;67;70;71;72;76
42;7;44;25;14;46;20;35;54;75;44;67;13;50;19;28;51;83;53;60;35;56;37;55;13;19;28;35;37;44;50;51;53;54;55;56;60;67;75;83
29;8;49;13;7;10;33;19;27;20;44;46;14;17;27;22;38;43;76;49;2;6;38;24;2;6;14;17;20;22;24;27;27;38;38;43;44;46;49;76
5;46;9;48;32;15;33;30;31;15;34;32;61;50;78;56;38;11;33;25;61;47;78;58;11;15;25;31;32;33;34;38;47;50;56;58;61;61;78;78
20;2;32;30;37;40;12;45;56;45;14;56;36;27;14;33;55;66;38;63;57;66;38;55;14;14;27;33;36;38;38;45;55;55;56;56;57;63;66;66
28;36;5;35;20;10;17;31;30;22;34;56;47;29;36;58;24;6;2;31;51;37;35;63;2;6;22;24;29;30;31;34;35;36;37;47;51;56;58;63
43;29;12;25;40;8;33;11;81;33;68;47;58;36;43;31;37;4;43;5;60;29;54;24;4;5;24;29;31;33;36;37;43;43;47;54;58;60;68;81
47;33;30;45;4;36;24;16;35;71;60;58;22;65;49;43;18;55;36;35;32;78;56;42;18;22;32;35;35;36;42;43;49;55;56;58;60;65;71;78
11;32;32;45;47;48;17;12;56;42;22;22;76;80;37;33;76;68;38;30;82;91;55;50;22;22;30;33;37;38;42;50;55;56;68;76;76;80;82;91
17;16;36;33;28;14;32;28;35;17;45;42;43;19;28;38;47;46;64;61;49;41;65;50;17;19;28;35;38;41;42;43;45;46;47;49;50;61;64;65
1;40;32;48;3;2;16;8;-12;-17;11;6;33;42;41;31;28;24;45;22;35;40;45;47;-17;-12;6;11;22;24;28;31;33;35;40;41;42;45;45;47
38;0;22;45;29;47;13;7;57;80;40;44;20;36;10;-3;45;51;23;19;64;73;56;33;-3;10;19;20;23;33;36;40;44;45;51;56;57;64;73;80
23;10;23;26;32;3;28;41;41;10;50;57;41;13;23;42;47;26;32;49;53;14;42;48;10;13;14;23;26;32;41;41;42;42;47;48;49;50;53;57
44;43;1;2;34;28;8;47;61;66;39;88;76;57;47;77;18;10;1;34;31;26;-9;34;-9;1;10;18;26;31;34;34;39;47;57;61;66;76;77;88
9;47;6;1;25;8;4;21;21;10;8;29;57;53;33;56;11;13;10;15;9;6;-10;16;-10;6;8;9;10;10;11;13;15;16;21;29;33;53;56;57
10;11;3;44;47;14;0;38;50;20;-9;37;58;7;4;41;36;15;-6;22;83;56;34;66;-9;-6;4;7;15;20;22;34;36;37;41;50;56;58;66;83
31;38;18;28;45;6;21;48;62;17;40;61;82;34;56;83;54;23;24;63;55;19;30;68;17;19;23;24;30;34;40;54;55;56;61;62;63;68;82;83
36;32;28;44;11;44;48;3;38;65;71;20;35;69;60;17;34;55;70;18;49;80;85;41;17;18;20;34;35;38;41;49;55;60;65;69;70;71;80;85
38;26;19;5;2;22;0;37;35;42;23;59;25;40;17;50;5;30;16;46;-9;16;-12;40;-12;-9;5;16;16;17;23;25;30;35;40;40;42;46;50;59
1;4;1;17;28;24;4;11;26;14;-8;7;12;23;-4;15;13;6;-3;-6;26;31;5;20;-8;-6;-4;-3;5;6;7;12;13;14;15;20;23;26;26;31
22;15;32;31;35;17;22;19;45;23;25;41;39;27;19;29;49;33;47;41;65;47;37;36;19;23;25;27;29;33;36;37;39;41;41;45;47;47;49;65
30;46;7;28;25;1;8;41;40;29;25;65;70;47;52;76;23;-9;11;31;52;20;33;60;-9;11;20;23;25;29;31;33;40;47;52;52;60;65;70;76
48;47;10;34;5;11;8;11;51;50;42;59;33;45;42;58;2;7;5;18;31;40;22;26;2;5;7;18;22;26;31;33;40;42;42;45;50;51;58;59
47;26;10;48;29;17;46;36;71;62;80;72;46;27;53;49;20;14;50;45;68;49;90;70;14;20;27;45;46;49;49;50;53;62;68;70;71;72;80;90
29;39;2;44;43;4;29;46;56;29;40;58;71;39;55;67;41;-13;13;30;72;40;60;88;-13;13;29;30;39;40;40;41;55;56;58;60;67;71;72;88
7;17;2;11;39;4;43;5;34;1;31;11;39;13;43;12;35;-14;37;2;37;1;52;13;-14;1;1;2;11;12;13;13;31;34;35;37;37;39;43;52
2;4;19;40;3;44;10;22;-2;30;2;11;-10;29;3;6;16;51;16;39;37;79;47;58;-10;-2;2;3;6;11;16;16;29;30;37;39;47;51;58;79
3;46;39;25;10;25;36;39;-2;22;23;32;37;67;73;85;42;54;64;74;33;45;43;48;-2;22;23;32;33;37;42;43;45;48;54;64;67;73;74;85
39;2;38;9;44;13;13;0;69;52;48;38;29;8;1;-12;64;48;43;35;46;3;4;5;-12;1;3;4;5;8;29;35;38;43;46;48;48;52;64;69
44;47;17;16;43;18;6;12;84;50;42;56;89;47;49;56;51;29;3;20;53;17;17;15;3;15;17;17;20;29;42;47;49;50;51;53;56;56;84;89
28;33;17;37;10;24;27;20;24;40;35;43;25;45;47;50;27;30;26;31;33;44;47;54;24;25;26;27;30;31;33;35;40;43;44;45;47;47;50;54
14;22;29;20;21;12;32;20;23;16;46;14;34;28;54;34;47;29;59;47;31;14;43;29;14;14;16;23;28;29;29;31;34;34;43;46;47;47;54;59
9;20;27;0;47;49;0;5;37;40;-3;7;64;69;11;15;69;68;13;17;31;32;-7;5;-7;-3;5;7;11;13;15;17;31;32;37;40;64;68;69;69
6;33;26;7;21;38;42;36;12;28;36;31;45;61;74;62;39;63;60;51;14;31;37;43;12;14;28;31;31;36;37;39;43;45;51;60;61;62;63;74
12;12;16;37;33;27;44;47;32;24;49;47;35;31;43;45;40;28;59;55;63;52;68;75;24;28;31;32;35;40;43;45;47;49;52;55;59;63;68;75
40;11;22;14;24;28;20;36;62;64;60;71;22;19;30;46;27;30;39;58;31;36;27;30;19;22;27;27;30;30;30;31;36;39;46;58;60;62;64;71
40;10;17;47;27;12;2;13;50;41;28;53;33;19;-5;8;28;27;-1;19;64;49;35;49;-5;-1;8;19;19;27;28;28;33;35;41;49;49;50;53;64
48;28;3;10;20;10;7;44;58;51;50;77;38;20;34;56;15;6;8;42;18;13;0;51;0;6;8;13;15;18;20;34;38;42;50;51;51;56;58;77
1;24;24;47;45;41;26;32;33;42;25;15;49;58;39;54;62;64;38;37;89;78;61;63;15;25;33;37;38;39;42;49;54;58;61;62;63;64;78;89
31;39;0;30;24;49;15;49;48;61;30;63;44;82;41;73;11;39;3;42;43;62;35;63;3;11;30;35;39;41;42;43;44;48;61;62;63;63;73;82
20;6;4;3;17;6;5;16;19;13;11;27;5;-1;3;4;13;10;4;9;19;8;5;2;-1;2;3;4;4;5;5;8;9;10;11;13;13;19;19;27
32;15;47;5;22;45;26;11;43;77;39;26;17;41;38;17;56;72;53;41;13;50;16;0;0;13;16;17;17;26;38;39;41;41;43;50;53;56;72;77
17;17;15;27;25;11;11;3;34;20;27;17;32;17;15;3;20;7;13;1;49;25;35;14;1;3;7;13;14;15;17;17;20;20;25;27;32;34;35;49
24;41;38;46;28;48;35;16;49;57;40;25;59;74;73;55;61;67;59;34;54;85;62;45;25;34;40;45;49;54;55;57;59;59;61;62;67;73;74;85
14;28;49;38;32;11;7;29;40;18;1;32;54;32;18;52;81;54;46;66;67;30;29;57;1;18;18;29;30;32;32;40;46;52;54;54;57;66;67;81
39;32;15;18;27;32;35;7;46;64;55;45;58;47;47;38;36;33;32;15;37;45;49;14;14;15;32;33;36;37;38;45;45;46;47;47;49;55;58;64
9;32;26;6;2;15;32;12;4;24;39;18;34;46;60;32;22;26;42;30;-2;4;31;18;-2;4;4;18;18;22;24;26;30;31;32;34;39;42;46;60
7;47;11;0;25;47;20;32;32;46;23;38;54;86;57;59;17;44;22;38;19;34;13;18;13;17;18;19;22;23;32;34;38;38;44;46;54;57;59;86
8;0;4;42;39;32;46;22;33;37;52;21;35;14;27;10;29;22;30;8;76;54;86;53;8;10;14;21;22;27;29;30;33;35;37;52;53;54;76;86
19;2;33;22;48;19;22;13;47;31;28;20;43;15;21;1;66;44;43;27;51;40;41;24;1;15;20;21;24;27;28;31;40;41;43;43;44;47;51;66
2;1;11;20;34;46;20;25;34;32;10;22;35;31;17;10;33;47;14;19;46;50;24;29;10;10;14;17;19;22;24;29;31;32;33;34;35;46;47;50
48;45;39;26;31;40;15;27;67;75;58;73;56;84;46;72;50;75;53;51;47;66;28;49;28;46;47;49;50;51;53;56;58;66;67;72;73;75;75;84
41;47;14;19;18;26;16;26;58;51;39;56;61;57;47;73;19;38;10;34;30;29;27;41;10;19;27;29;30;34;38;39;41;47;51;56;57;58;61;73
34;4;16;22;25;10;23;19;45;27;51;45;23;-6;19;7;25;18;24;21;43;29;35;34;-6;7;18;19;21;23;24;25;27;29;34;35;43;45;45;51
33;7;25;45;28;11;2;17;52;29;26;48;35;6;-11;22;35;20;19;42;54;54;30;45;-11;6;19;20;22;26;29;30;35;35;42;45;48;52;54;54
23;22;43;15;38;26;22;23;43;49;31;32;54;34;41;26;81;61;53;50;51;38;29;36;26;29;31;32;34;36;38;41;43;49;50;51;53;54;61;81
39;5;25;40;2;35;4;28;29;70;43;66;-5;22;0;24;9;59;23;38;36;60;28;48;-5;0;9;22;23;24;28;29;36;38;43;48;59;60;66;70
22;39;32;46;48;12;24;1;59;22;43;19;81;33;49;33;64;44;41;14;82;39;69;27;14;19;22;27;33;33;39;41;43;44;49;59;64;69;81;82
5;7;2;43;10;2;44;46;10;-9;33;32;5;-3;41;47;-2;-2;30;43;52;37;71;76;-9;-3;-2;-2;5;10;30;32;33;37;41;43;47;52;71;76
44;43;43;30;17;13;1;17;47;49;34;59;40;55;24;40;43;53;40;52;34;28;25;47;24;25;28;34;34;40;40;40;43;47;47;49;52;53;55;59
21;37;19;33;25;2;38;34;34;4;54;48;61;21;68;70;25;18;56;44;54;30;51;52;4;18;21;25;30;34;44;48;51;52;54;54;56;61;68;70
9;13;48;11;43;5;43;7;33;11;51;8;52;-2;54;5;82;40;90;40;46;9;50;5;-2;5;5;8;9;11;33;40;40;46;50;51;52;54;82;90
34;16;23;7;2;45;36;12;26;68;60;29;9;61;32;12;14;65;41;31;-4;40;32;8;-4;8;9;12;14;26;29;31;32;32;40;41;60;61;65;68
26;40;26;10;12;34;24;44;24;55;42;57;39;62;60;69;28;53;45;57;6;28;31;41;6;24;28;28;31;39;41;42;45;53;55;57;57;60;62;69
32;49;28;21;0;18;41;1;25;32;59;28;29;62;83;50;22;28;52;26;4;30;46;16;4;16;22;25;26;28;28;29;30;32;46;50;52;59;62;83
38;29;8;4;31;10;36;25;58;36;62;50;50;25;64;45;22;2;37;27;26;-5;32;26;-5;2;22;25;26;26;27;32;36;37;45;50;50;58;62;64
23;41;22;26;7;29;8;28;16;34;22;34;40;62;39;53;24;35;27;45;26;40;31;35;16;22;24;26;27;31;34;34;35;35;39;40;40;45;53;62
16;34;8;3;4;27;3;39;16;29;8;42;34;52;24;63;4;35;5;35;4;12;-2;33;-2;4;4;5;8;12;16;24;29;33;34;35;35;42;52;63
5;35;47;27;38;20;11;39;31;9;14;32;64;37;35;68;76;54;48;75;47;41;28;56;9;14;28;31;32;35;37;41;47;48;54;56;64;68;75;76
12;30;32;11;11;33;19;31;9;38;19;25;34;52;46;43;36;50;44;51;13;26;22;41;9;13;19;22;25;26;34;36;38;41;43;44;46;50;51;52
15;30;15;10;18;9;47;35;26;5;51;40;43;38;60;52;23;22;61;46;22;1;52;42;1;5;22;22;23;26;38;40;42;43;46;51;52;52;60;61
36;8;36;18;14;40;9;6;31;75;27;35;14;39;3;12;48;69;31;23;18;45;12;20;3;12;12;14;18;20;23;27;31;31;35;39;45;48;69;75
9;13;32;47;11;3;35;48;2;10;31;40;24;3;37;60;31;33;64;77;43;38;73;94;2;3;10;24;31;31;33;37;38;40;43;60;64;73;77;94
27;5;2;30;21;1;35;25;36;17;44;40;10;-14;40;21;5;-7;26;13;32;16;53;38;-14;-7;5;10;13;16;17;21;26;32;36;38;40;40;44;53
22;9;44;33;9;7;42;39;15;22;61;41;6;2;41;31;48;40;74;67;37;33;56;71;2;6;15;22;31;33;37;40;41;41;48;56;61;67;71;74
8;0;44;21;3;19;1;25;-3;20;-4;25;-7;16;-17;9;32;44;41;63;22;36;14;32;-17;-7;-4;-3;9;14;16;20;22;25;32;32;36;41;44;63
12;37;38;27;12;14;28;4;4;18;28;2;34;38;64;41;43;34;64;22;35;27;53;15;2;4;15;18;22;27;28;34;34;35;38;41;43;53;64;64
19;21;16;21;19;42;44;14;30;55;56;19;26;59;45;29;20;48;41;14;23;63;53;18;14;18;19;20;23;26;29;30;41;45;48;53;55;56;59;63
31;8;15;24;18;33;48;5;39;46;76;19;9;22;53;8;25;34;58;0;30;51;64;23;0;8;9;19;22;23;25;30;34;39;46;51;53;58;64;76
26;29;22;13;39;19;44;27;56;40;61;38;61;34;63;43;44;36;56;33;52;30;50;30;30;30;33;34;36;38;40;43;44;50;52;56;56;61;61;63
28;2;40;33;38;9;47;42;60;33;69;61;39;9;40;40;58;34;77;62;62;24;64;67;9;24;33;34;39;40;40;58;60;61;62;62;64;67;69;77
10;26;42;44;18;7;19;7;20;5;10;11;41;31;40;14;48;45;51;44;47;43;52;33;5;10;11;14;20;31;33;40;41;43;44;45;47;48;51;52
11;8;18;30;20;48;47;9;19;51;40;15;13;40;49;14;36;52;49;16;45;68;59;29;13;14;15;16;19;29;36;40;40;45;49;49;51;52;59;68
29;45;18;18;19;35;42;49;29;48;65;77;54;69;73;82;31;45;57;55;18;52;44;51;18;29;31;44;45;48;51;52;54;55;57;65;69;73;77;82
29;43;19;39;47;41;29;24;62;51;53;45;80;82;55;56;49;51;29;40;70;68;48;49;29;40;45;48;49;49;51;51;53;55;56;62;68;70;80;82
16;36;36;0;26;4;12;44;33;16;10;58;60;32;40;80;62;37;31;78;25;-13;-6;24;-13;-6;10;16;24;25;31;32;33;37;40;58;60;62;78;80
8;30;23;23;2;16;22;18;-1;13;10;24;28;26;35;42;22;19;35;36;17;19;39;39;-1;10;13;17;19;19;22;24;26;28;35;35;36;39;39;42
43;37;28;41;33;35;0;44;71;71;41;69;66;53;22;75;47;59;20;69;57;58;23;65;20;22;23;41;47;53;57;58;59;65;66;69;69;71;71;75
24;28;41;33;5;0;33;30;25;19;38;54;30;15;54;45;31;35;63;57;33;16;49;59;15;16;19;25;30;31;33;35;38;45;49;54;54;57;59;63
20;2;27;9;46;16;32;39;56;26;52;51;30;11;24;41;71;28;57;60;42;13;34;30;11;13;24;26;28;30;30;34;41;42;51;52;56;57;60;71
40;18;49;6;32;48;42;36;54;75;76;65;41;57;53;38;63;86;83;83;31;34;31;23;23;31;31;34;38;41;53;54;57;63;65;75;76;83;83;86
33;29;10;35;9;40;47;35;36;62;76;63;22;55;70;52;8;48;39;29;29;60;71;53;8;22;29;29;36;39;48;52;53;55;60;62;63;70;71;76
38;41;13;39;19;22;30;20;55;44;68;53;55;56;63;61;12;28;28;21;57;52;65;57;12;21;28;28;44;52;53;55;55;56;57;57;61;63;65;68
37;0;14;14;13;2;26;45;47;24;52;75;2;-2;26;41;22;12;22;40;19;5;24;45;-2;2;5;12;19;22;22;24;24;26;40;41;45;47;52;75
15;20;16;35;38;22;18;33;36;27;33;44;49;36;21;33;45;23;27;48;71;52;33;58;21;23;27;27;33;33;33;36;36;44;45;48;49;52;58;71
7;3;45;14;48;40;22;37;41;38;27;44;44;35;15;37;85;81;50;69;45;53;18;51;15;18;27;35;37;38;41;44;44;45;50;51;53;69;81;85
31;43;43;10;35;21;5;20;53;36;21;35;62;58;47;63;78;64;40;49;27;22;4;30;4;21;22;27;30;35;36;40;47;49;53;58;62;63;64;78
40;41;0;18;36;43;16;3;56;69;40;26;70;73;54;33;28;26;2;-11;34;47;14;4;-11;2;4;14;26;26;28;33;34;40;47;54;56;69;70;73
44;36;43;4;9;14;9;36;34;44;49;60;40;37;36;53;44;55;46;75;5;-1;7;39;-1;5;7;34;36;37;39;40;44;44;46;49;53;55;60;75
6;35;46;18;8;37;24;3;6;25;13;0;40;64;56;20;39;78;60;37;24;40;37;13;0;6;13;13;20;24;25;37;37;39;40;40;56;60;64;78
0;11;33;18;29;48;47;7;18;42;45;4;21;54;42;18;57;81;65;23;40;54;50;24;4;18;18;21;23;24;40;42;42;45;50;54;54;57;65;81
13;26;27;21;34;16;33;33;36;29;26;44;55;31;57;50;46;30;40;44;45;23;50;52;23;26;29;30;31;36;40;44;44;45;46;50;50;52;55;57
5;6;48;3;47;30;28;23;36;35;22;15;36;25;27;29;81;63;68;58;49;20;30;15;15;15;20;22;25;27;29;30;35;36;36;49;58;63;68;81
37;11;27;30;17;8;31;0;42;33;65;37;25;-1;42;9;34;16;43;12;32;36;41;12;-1;9;12;12;16;25;32;33;34;36;37;41;42;42;43;65
21;44;45;7;27;5;16;18;48;23;22;22;68;31;53;57;52;39;49;48;33;2;14;15;2;14;15;22;22;23;31;33;39;48;48;49;52;53;57;68
2;44;29;32;4;18;30;9;-12;0;29;-2;41;62;69;34;24;37;54;31;23;31;59;22;-12;-2;0;22;23;24;29;31;31;34;37;41;54;59;62;69
49;32;46;49;47;7;35;44;82;56;69;86;69;31;65;67;90;39;75;81;87;39;75;78;31;39;39;56;65;67;69;69;75;75;78;81;82;86;87;90
27;45;39;25;24;7;1;1;41;16;14;21;65;41;32;26;46;32;36;37;47;24;24;16;14;16;16;21;24;24;26;32;32;36;37;41;41;46;47;65
28;45;2;9;21;49;5;13;31;71;33;40;66;91;34;51;7;39;-13;-4;25;45;2;21;-13;-4;2;7;21;25;31;33;34;39;40;45;51;66;71;91
42;41;27;4;22;14;6;42;49;45;41;75;63;45;33;67;36;24;14;55;11;1;-8;40;-8;1;11;14;24;33;36;40;41;45;45;49;55;63;67;75
7;25;37;39;18;27;17;20;20;25;15;25;28;48;40;29;49;63;35;49;55;49;46;53;15;20;25;25;28;29;35;40;46;48;49;49;49;53;55;63
25;2;19;27;33;3;14;48;44;24;29;53;29;-6;-1;37;37;11;18;50;41;25;41;64;-6;-1;11;18;24;25;29;29;37;37;41;41;44;50;53;64
5;7;47;4;19;6;30;32;15;2;15;27;14;1;17;31;53;36;71;64;15;-8;33;34;-8;1;2;14;15;15;15;17;27;31;33;34;36;53;64;71
6;45;39;45;25;14;30;38;26;4;17;33;66;55;72;77;50;43;54;58;51;41;73;83;4;17;26;33;41;43;50;51;54;55;58;66;72;73;77;83
22;1;15;9;41;19;42;2;52;29;54;10;26;2;28;0;54;31;37;-1;42;15;36;6;-1;0;2;6;10;15;26;28;29;31;36;37;42;52;54;54
12;9;36;43;0;2;13;42;-8;9;23;49;-2;-6;5;35;26;28;36;76;24;30;36;73;-8;-6;-2;5;9;23;24;26;28;30;35;36;36;49;73;76
41;29;40;13;10;44;21;36;32;79;47;76;39;62;45;49;36;66;60;68;19;45;28;35;19;28;32;35;36;39;45;45;47;49;60;62;66;68;76;79
47;17;3;5;8;40;27;30;54;74;67;63;10;48;29;47;-1;31;17;14;0;35;21;27;-1;0;10;14;17;21;27;29;31;35;47;48;54;63;67;74
13;49;9;25;46;32;7;23;46;38;2;29;88;75;42;55;46;35;11;30;53;37;27;37;2;11;27;29;30;35;37;37;38;42;46;46;53;55;75;88
37;43;37;25;30;4;35;19;55;21;56;37;59;31;63;61;57;33;58;55;52;12;50;38;12;21;31;33;37;38;50;52;55;55;56;57;58;59;61;63
2;10;1;47;22;46;20;38;15;48;3;25;28;48;22;42;19;29;14;19;68;92;63;68;3;14;15;19;19;22;25;28;29;42;48;48;63;68;68;92
38;40;6;5;41;13;43;49;63;43;74;78;64;38;66;74;47;8;30;48;38;5;30;46;5;8;30;30;38;38;43;46;47;48;63;64;66;74;74;78
3;15;11;15;15;8;42;44;1;10;29;34;27;10;46;46;18;13;41;46;29;23;43;46;1;10;10;13;18;23;27;29;29;34;41;43;46;46;46;46
19;41;8;11;37;37;21;24;50;40;38;28;62;66;61;61;42;35;26;29;44;43;29;23;23;26;28;29;29;35;38;40;42;43;44;50;61;61;62;66
