q0p0;q0p1;q0p2;q0p3;q1p0;q1p1;q1p2;s[0, 4];s[0, 5];s[0, 6];s[1, 4];s[1, 5];s[1, 6];s[2, 4];s[2, 5];s[2, 6];s[3, 4];s[3, 5];s[3, 6];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11
39;35;37;44;15;48;25;42;81;58;35;82;46;37;83;42;43;85;62;35;37;42;42;43;46;58;62;81;82;83;85
40;39;40;32;2;1;12;41;24;49;21;37;44;33;28;39;23;23;41;21;23;23;24;28;33;37;39;41;41;44;49
2;32;48;5;3;6;48;-7;-3;46;26;27;79;43;37;82;-4;9;40;-7;-4;-3;9;26;27;37;40;43;46;79;82
21;12;39;11;1;49;47;6;64;54;-3;61;54;33;74;80;12;40;52;-3;6;12;33;40;52;54;54;61;64;74;80
9;36;46;9;13;16;44;7;11;53;34;33;77;39;61;73;9;24;38;7;9;11;24;33;34;38;39;53;61;73;77
14;11;41;43;41;1;19;54;-3;13;39;0;22;73;26;40;67;43;57;-3;0;13;22;26;39;40;43;54;57;67;73
45;37;3;40;48;3;3;93;37;32;80;31;27;32;-13;-12;82;27;37;-13;-12;27;27;31;32;32;37;37;80;82;93
5;40;37;48;35;14;28;22;19;14;63;34;53;69;46;59;76;59;60;14;19;22;34;46;53;59;59;60;63;69;76
20;35;40;24;15;19;35;18;38;39;45;46;65;53;56;73;27;33;51;18;27;33;38;39;45;46;51;53;56;65;73
12;40;33;44;17;48;6;16;42;-2;43;70;39;33;75;32;59;83;31;-2;16;31;32;33;39;42;43;59;70;75;83
28;35;27;25;30;43;5;51;52;13;62;65;29;56;59;18;43;63;23;13;18;23;29;43;51;52;56;59;62;63;65
28;30;47;35;49;7;12;76;23;30;79;17;26;89;40;59;64;31;40;17;23;26;30;31;40;40;59;64;76;79;89
1;10;12;47;39;28;12;37;16;2;44;23;5;39;35;9;78;73;58;2;5;9;16;23;35;37;39;44;58;73;78
4;32;11;41;7;7;5;2;-3;-10;19;22;20;11;15;14;34;43;28;-10;-3;2;11;14;15;19;20;22;28;34;43
13;40;19;18;21;12;38;14;8;44;54;47;66;39;21;47;28;21;49;8;14;21;21;28;39;44;47;47;49;54;66
4;39;10;33;41;1;47;28;-5;36;68;28;84;43;7;37;62;26;65;-5;7;26;28;28;36;37;43;62;65;68;84
35;2;15;48;40;30;23;56;58;52;39;26;11;52;32;38;68;71;64;11;26;32;38;39;52;52;56;58;64;68;71
29;4;8;15;2;8;17;22;27;28;2;-5;20;5;-3;11;16;20;23;-5;-3;2;5;11;16;20;20;22;23;27;28
34;5;22;28;12;32;22;34;47;49;5;17;12;19;49;43;34;50;50;5;12;17;19;34;34;43;47;49;49;50;50
7;36;3;38;42;11;37;49;16;27;70;44;66;42;4;39;77;39;61;4;16;27;39;39;42;44;49;61;66;70;77
35;37;12;43;34;31;45;64;59;63;51;49;81;32;24;43;72;64;86;24;32;43;49;51;59;63;64;64;72;81;86
16;3;41;29;28;7;32;42;19;45;25;-6;23;58;31;59;39;17;41;-6;17;19;23;25;31;39;41;42;45;58;59
8;22;20;27;43;14;37;34;10;33;51;21;57;57;15;39;51;40;48;10;15;21;33;34;39;40;48;51;51;57;57
14;33;22;12;15;2;4;19;1;18;29;23;31;24;7;8;21;9;14;1;7;8;9;14;18;19;21;23;24;29;31
20;24;16;35;41;13;25;41;25;37;48;32;33;41;9;24;76;34;58;9;24;25;32;33;34;37;41;41;48;58;76
11;9;32;18;2;45;37;4;53;46;9;47;40;29;65;61;17;47;54;4;9;17;29;40;46;47;47;53;54;61;65
0;23;29;15;48;48;4;40;47;-9;55;54;27;68;58;17;63;58;10;-9;10;17;27;40;47;54;55;58;58;63;68
20;17;24;48;14;27;19;22;30;39;15;42;24;33;36;27;61;59;63;15;22;24;27;30;33;36;39;42;59;61;63
47;44;34;2;26;45;28;62;91;61;68;74;58;41;71;61;13;30;22;13;22;30;41;58;61;61;62;68;71;74;91
37;23;19;12;32;1;34;63;33;59;38;7;39;43;20;46;40;12;26;7;12;20;26;33;38;39;40;43;46;59;63
48;12;33;31;36;35;15;80;81;58;41;46;26;52;56;30;49;58;40;26;30;40;41;46;49;52;56;58;58;80;81
16;3;20;41;35;22;29;32;23;36;33;15;17;45;37;42;67;53;56;15;17;23;32;33;36;37;42;45;53;56;67
15;27;47;35;27;33;14;42;38;10;53;40;33;65;69;54;43;58;46;10;33;38;40;42;43;46;53;54;58;65;69
1;34;2;43;19;3;23;6;-14;6;50;24;37;16;2;6;57;42;52;-14;2;6;6;6;16;24;37;42;50;52;57
20;1;36;19;24;4;23;25;11;30;16;0;17;58;36;58;29;7;32;0;7;11;16;17;25;29;30;32;36;58;58
9;1;21;3;44;34;7;46;33;-4;32;35;-8;54;37;28;35;27;-2;-8;-4;-2;27;28;32;33;35;35;37;46;54
49;27;48;1;13;16;25;57;47;63;35;32;47;44;54;69;13;-3;7;-3;7;13;32;35;44;47;47;54;57;63;69
34;39;43;46;14;35;6;35;58;36;42;70;27;41;73;38;52;73;37;27;35;36;37;38;41;42;52;58;70;73;73
32;27;48;20;33;32;19;62;54;41;41;58;44;66;70;61;39;51;36;36;39;41;41;44;51;54;58;61;62;66;70
43;21;42;13;20;33;22;50;63;60;21;34;24;51;64;56;16;45;35;16;21;24;34;35;45;50;51;56;60;63;64
15;46;49;21;15;42;44;28;37;43;61;80;84;47;77;81;31;47;60;28;31;37;43;47;47;60;61;77;80;81;84
11;18;24;40;4;31;27;15;30;33;13;36;25;8;35;34;44;54;65;8;13;15;25;30;33;34;35;36;44;54;65
2;19;26;49;25;13;46;11;13;32;25;31;48;31;21;53;59;62;95;11;13;21;25;31;31;32;48;53;59;62;95
27;33;45;5;48;30;0;66;49;27;79;56;24;76;69;33;49;31;-12;-12;24;27;31;33;49;49;56;66;69;76;79
0;9;45;47;20;47;4;7;30;-13;15;53;10;65;85;40;56;90;32;-13;7;10;15;30;32;40;53;56;65;85;90
4;24;12;49;42;40;4;35;29;6;52;51;14;40;32;6;78;70;33;6;6;14;29;32;33;35;40;51;52;70;78
0;12;44;23;39;28;6;38;27;-5;45;23;-2;79;62;47;51;51;26;-5;-2;23;26;27;38;45;47;51;51;62;79
29;24;44;3;20;11;26;45;31;43;26;21;45;57;35;67;9;11;27;9;11;21;26;27;31;35;43;45;45;57;67
13;5;16;4;36;1;21;34;6;20;26;-9;12;45;8;37;32;-10;14;-10;-9;6;8;12;14;20;26;32;34;37;45
42;45;1;14;44;48;46;66;86;85;71;89;81;37;43;34;38;62;56;34;37;38;43;56;62;66;71;81;85;86;89
27;38;12;43;8;23;15;29;38;31;35;59;46;8;22;20;50;62;42;8;20;22;29;31;35;38;42;46;50;59;62
13;1;36;16;40;37;40;34;43;50;22;36;33;62;66;73;42;43;50;22;33;34;36;42;43;43;50;50;62;66;73
43;33;32;8;24;12;20;54;54;57;37;41;39;42;38;43;25;20;12;12;20;25;37;38;39;41;42;43;54;54;57
39;0;34;43;41;12;14;73;37;34;37;-1;-3;63;26;37;81;37;47;-3;-1;26;34;37;37;37;37;47;63;73;81
13;47;25;1;5;15;33;9;10;44;45;58;79;15;29;44;-3;15;14;-3;9;10;14;15;15;29;44;44;45;58;79
13;13;24;14;30;49;3;26;59;13;31;61;1;38;59;12;35;50;13;1;12;13;13;26;31;35;38;50;59;59;61
34;41;35;41;3;23;41;30;55;62;24;50;76;35;42;63;43;52;81;24;30;35;42;43;50;52;55;62;63;76;81
15;33;25;21;23;16;23;26;19;27;50;41;55;28;35;39;38;17;35;17;19;26;27;28;35;35;38;39;41;50;55
13;13;26;36;7;40;37;10;52;50;3;38;38;28;51;43;30;61;65;3;10;28;30;38;38;43;50;51;52;61;65
43;35;36;42;36;10;10;67;37;38;63;28;42;72;38;29;77;32;41;28;29;32;37;38;38;41;42;63;67;72;77
7;16;48;4;25;45;10;32;49;5;24;45;6;54;84;47;17;43;12;5;6;12;17;24;32;43;45;47;49;54;84
41;41;40;0;35;44;4;58;69;45;67;67;31;61;64;24;31;32;-7;-7;24;31;31;32;45;58;61;64;67;67;69
48;1;37;18;46;25;15;94;66;44;39;12;12;66;53;48;45;40;32;12;12;32;39;40;44;45;48;53;66;66;94
42;41;45;7;47;28;7;84;59;45;68;54;28;74;64;34;47;24;6;6;24;28;34;45;47;54;59;64;68;74;84
33;21;3;3;12;36;12;44;59;32;21;43;24;1;28;-4;3;25;0;-4;0;1;3;21;24;25;28;32;43;44;59
24;35;16;10;48;2;24;70;19;30;79;32;57;44;8;40;47;-2;18;-2;8;18;19;30;32;40;44;47;57;70;79
46;33;16;4;12;18;42;40;47;74;34;31;68;26;32;55;-1;20;44;-1;20;26;31;32;34;40;44;47;55;68;74
46;38;47;20;40;27;8;76;69;34;77;59;34;75;70;44;42;46;17;17;34;34;42;44;46;59;69;70;75;76;77
39;3;12;6;3;2;0;42;31;33;-9;3;-4;-5;5;-4;-11;-8;-9;-11;-9;-9;-8;-5;-4;-4;3;5;31;33;42
30;35;44;7;22;3;14;41;20;31;54;38;47;65;44;50;22;7;21;7;20;21;22;31;38;41;44;47;50;54;65
28;29;29;38;38;16;18;63;34;29;61;29;29;58;42;32;69;49;44;29;29;29;32;34;42;44;49;58;61;63;69
20;31;14;34;0;26;44;9;28;45;20;51;55;13;24;49;15;51;63;9;13;15;20;24;28;45;49;51;51;55;63
26;11;2;47;37;14;35;50;37;51;33;6;30;38;2;17;79;56;66;2;6;17;30;33;37;38;50;51;56;66;79
47;34;6;29;45;18;34;76;51;67;75;45;56;44;21;39;60;35;48;21;35;39;44;45;48;51;56;60;67;75;76
19;33;41;40;12;38;23;11;54;24;43;69;56;51;64;53;48;59;44;11;24;43;44;48;51;53;54;56;59;64;69
13;27;29;4;13;9;29;16;20;31;27;33;53;28;38;44;2;-7;22;-7;2;16;20;22;27;28;31;33;38;44;53
23;44;2;37;29;38;30;38;42;39;73;82;56;15;32;18;59;75;61;15;18;32;38;39;42;56;59;61;73;75;82
2;34;44;44;34;21;29;25;15;25;66;46;63;71;55;65;59;62;61;15;25;25;46;55;59;61;62;63;65;66;71
16;22;6;44;27;17;30;28;29;44;38;31;43;19;3;24;62;51;65;3;19;24;28;29;31;38;43;44;51;62;65
14;18;27;35;18;9;25;24;7;27;28;27;27;31;23;44;46;41;42;7;23;24;27;27;27;28;31;41;42;44;46
16;30;2;39;27;38;26;40;52;31;37;57;41;18;22;11;46;61;48;11;18;22;31;37;40;41;46;48;52;57;61
29;17;36;37;12;10;48;28;38;75;16;23;55;31;29;67;39;35;75;16;23;28;29;31;35;38;39;55;67;75;75
9;39;36;16;0;27;33;-5;28;31;24;66;55;35;50;68;15;26;45;-5;15;24;26;28;31;35;45;50;55;66;68
27;48;39;1;42;29;5;54;38;27;85;64;46;76;65;37;34;27;-1;-1;27;27;34;37;38;46;54;64;65;76;85
38;43;28;37;21;6;33;48;25;63;63;42;60;35;17;59;48;24;60;17;24;25;35;42;48;48;59;60;60;63;63
7;7;23;18;32;47;6;24;51;9;36;54;-5;50;59;26;39;57;6;-5;6;9;24;26;36;39;50;51;54;57;59
41;5;32;8;8;34;12;29;63;41;2;20;-3;33;51;28;-4;31;19;-4;-3;2;19;20;28;29;31;33;41;51;63
38;0;23;18;35;26;38;61;62;71;32;14;34;42;29;53;53;34;46;14;29;32;34;34;42;46;53;53;61;62;71
42;19;47;4;48;7;15;74;32;54;56;25;34;85;46;60;36;0;8;0;8;25;32;34;36;46;54;56;60;74;85
4;22;11;38;12;20;1;14;24;1;20;31;4;21;25;11;46;47;25;1;4;11;14;20;21;24;25;25;31;46;47
31;36;33;24;44;49;37;57;60;66;63;75;55;61;63;68;50;67;53;50;53;55;57;60;61;63;63;66;67;68;75
44;10;43;45;33;14;45;66;39;73;34;24;42;70;55;79;75;46;74;24;34;39;42;46;55;66;70;73;74;75;79
19;8;36;20;0;15;44;13;32;58;-3;12;50;33;32;63;10;32;48;-3;10;12;13;32;32;32;33;48;50;58;63
36;13;29;46;40;0;47;67;16;82;49;2;42;54;19;64;76;28;82;2;16;19;28;42;49;54;64;67;76;82;82
39;34;12;11;19;9;28;58;45;66;40;34;51;13;1;32;30;20;28;1;13;20;28;30;32;34;40;45;51;58;66
1;48;45;7;8;44;25;-2;36;16;47;87;72;45;72;57;4;38;18;-2;4;16;18;36;38;45;47;57;72;72;87
1;19;18;0;41;47;46;39;29;47;53;61;55;45;47;56;25;31;44;25;29;31;39;44;45;47;47;53;55;56;61
9;39;3;29;25;13;19;34;15;25;44;33;53;8;10;7;47;35;29;7;8;10;15;25;29;33;34;35;44;47;53
23;3;5;0;39;45;38;47;62;56;41;35;31;29;40;27;26;43;28;26;27;28;29;31;35;40;41;43;47;56;62
8;1;30;41;18;30;11;22;18;17;19;26;3;41;60;26;45;71;35;3;17;18;19;22;26;26;35;41;45;60;71
37;10;13;22;16;5;40;33;25;75;23;10;42;15;16;51;36;11;46;10;11;15;16;23;25;33;36;42;46;51;75
16;20;10;14;48;39;5;49;49;9;58;41;14;54;30;2;59;41;12;2;9;12;14;30;41;41;49;49;54;58;59
8;28;1;29;10;13;28;0;1;17;36;27;43;3;0;12;26;29;37;0;0;1;3;12;17;26;27;29;36;37;43
37;36;26;24;49;38;26;67;60;45;85;74;57;55;53;42;58;51;49;42;45;49;51;53;55;57;58;60;67;74;85
48;15;39;19;24;31;31;61;69;67;33;41;36;56;60;65;42;46;30;30;33;36;41;42;46;56;60;61;65;67;69
46;5;9;48;36;14;11;63;51;53;21;18;13;32;23;8;75;54;58;8;13;18;21;23;32;51;53;54;58;63;75
7;37;3;16;32;49;9;32;53;3;67;79;37;16;40;0;41;58;13;0;3;13;16;32;37;40;41;53;58;67;79
20;17;43;1;0;14;30;0;23;30;16;17;33;42;46;61;-17;-1;29;-17;-1;0;16;17;23;29;30;33;42;46;61
29;30;10;19;18;36;33;29;51;54;46;51;47;25;26;33;27;42;41;25;26;27;29;33;41;42;46;47;51;51;54
28;37;43;25;46;40;36;58;58;47;77;75;62;80;67;61;53;60;61;47;53;58;58;60;61;61;62;67;75;77;80
9;11;13;17;8;20;13;12;26;18;5;13;6;4;18;11;11;19;10;4;5;6;10;11;11;12;13;18;18;19;26
22;11;32;37;43;23;42;50;28;50;45;17;46;64;54;71;79;42;77;17;28;42;45;46;50;50;54;64;71;77;79
0;45;45;13;34;40;16;29;20;6;59;76;47;65;82;60;32;45;16;6;16;20;29;32;45;47;59;60;65;76;82
15;31;12;39;27;26;42;34;34;52;50;50;55;20;31;46;62;53;79;20;31;34;34;46;50;50;52;53;55;62;79
27;2;10;3;49;29;41;60;51;54;34;13;35;44;32;51;35;17;28;13;17;28;32;34;35;35;44;51;51;54;60
37;10;2;39;9;8;4;38;37;29;15;18;-4;6;-6;4;47;33;43;-6;-4;4;6;15;18;29;33;37;38;43;47
37;19;24;18;42;14;33;62;45;68;51;29;48;49;36;51;45;14;46;14;29;36;45;45;46;48;49;51;51;62;68
18;48;12;45;42;45;38;60;59;40;77;73;83;53;45;50;68;70;83;40;45;50;53;59;60;68;70;73;77;83;83
25;6;23;40;32;3;23;41;9;39;22;4;17;47;24;30;60;42;63;4;9;17;22;24;30;39;41;42;47;60;63
29;2;3;14;1;26;41;10;53;67;-5;28;23;-4;25;40;2;27;49;-5;-4;2;10;23;25;27;28;40;49;53;67
22;0;33;37;13;8;26;16;28;32;-3;-1;23;44;29;59;32;42;55;-3;-1;16;23;28;29;32;32;42;44;55;59
23;26;13;8;31;14;2;34;29;14;37;28;16;34;26;0;33;20;8;0;8;14;16;20;26;28;29;33;34;34;37
3;47;8;37;11;33;9;12;18;2;42;76;44;7;37;5;37;58;46;2;5;7;12;18;37;37;42;44;46;58;76
17;26;43;21;39;22;38;40;34;53;49;45;57;82;65;76;42;24;45;24;34;40;42;45;45;49;53;57;65;76;82
25;32;21;20;19;22;26;44;45;43;41;51;55;36;27;32;25;34;28;25;27;28;32;34;36;41;43;44;45;51;55
2;46;19;33;6;26;19;5;27;12;46;56;59;23;40;21;32;48;32;5;12;21;23;27;32;32;40;46;48;56;59
14;14;10;12;3;46;25;15;49;37;8;41;22;-5;44;27;6;50;24;-5;6;8;15;22;24;27;37;41;44;49;50
20;25;19;29;40;7;3;53;19;9;46;13;22;45;19;21;59;28;16;9;13;16;19;19;21;22;28;45;46;53;59
0;8;32;1;23;8;27;20;-9;25;14;8;33;38;36;42;13;-4;16;-9;-4;8;13;14;16;20;25;33;36;38;42
32;19;17;13;31;32;27;56;47;41;30;49;41;45;38;30;26;31;39;26;30;30;31;38;39;41;41;45;47;49;56
32;30;1;29;37;43;20;58;55;40;51;55;49;36;26;4;47;59;41;4;26;36;40;41;47;49;51;55;55;58;59
41;44;17;31;45;40;49;70;77;82;71;69;91;61;37;55;59;57;80;37;55;57;59;61;69;70;71;77;80;82;91
3;2;33;43;13;16;47;16;12;50;3;9;40;35;32;68;40;41;71;3;9;12;16;32;35;40;40;41;50;68;71
32;35;41;44;11;12;48;29;34;62;45;42;74;52;36;73;41;53;88;29;34;36;41;42;45;52;53;62;73;74;88
44;16;18;22;40;22;6;70;46;30;48;27;6;52;34;23;53;30;18;6;18;23;27;30;30;34;46;48;52;53;70
42;22;49;11;31;37;30;62;71;53;49;50;37;65;84;60;35;44;35;35;35;37;44;49;50;53;60;62;65;71;84
44;6;30;34;31;13;44;58;39;73;37;11;35;50;33;73;62;45;77;11;33;35;37;39;45;50;58;62;73;73;77
5;33;7;19;35;0;13;32;-3;10;53;16;32;32;0;10;44;17;25;-3;0;10;10;16;17;25;32;32;32;44;53
43;0;42;39;36;17;1;61;43;38;27;12;0;75;42;29;55;43;32;0;12;27;29;32;38;42;43;43;55;61;75
41;24;2;2;23;49;38;63;71;60;42;64;47;19;43;32;16;44;38;16;19;32;38;42;43;44;47;60;63;64;71
19;5;15;18;37;49;5;51;50;4;32;38;-3;39;59;20;39;54;7;-3;4;7;20;32;38;39;39;50;51;54;59
1;11;19;17;23;24;31;20;12;23;16;27;41;35;38;38;20;22;33;12;16;20;20;22;23;27;33;35;38;38;41
36;46;6;5;47;26;15;78;47;35;83;71;42;38;22;11;44;24;8;8;11;22;24;35;38;42;44;47;71;78;83
24;45;31;43;24;18;47;39;29;65;56;46;73;45;36;70;56;42;89;29;36;39;42;45;46;56;56;65;70;73;89
35;19;9;31;38;40;27;56;65;56;47;53;44;38;36;27;65;68;47;27;36;38;44;47;47;53;56;56;65;65;68
45;0;44;18;48;16;43;80;48;70;31;10;27;87;60;83;61;22;52;10;22;27;31;48;52;60;61;70;80;83;87
23;20;48;13;14;45;45;29;60;48;14;50;63;48;74;83;25;53;53;14;25;29;48;48;50;53;53;60;63;74;83
25;26;4;29;45;1;46;65;16;66;54;16;53;46;-6;34;58;13;71;-6;13;16;16;34;46;53;54;58;65;66;71
38;47;6;19;35;16;43;64;36;72;71;55;71;40;14;32;43;30;52;14;30;32;36;40;43;52;55;64;71;71;72
10;35;19;3;36;8;21;40;15;20;68;26;49;52;15;35;27;0;21;0;15;15;20;21;26;27;35;40;49;52;68
35;40;12;15;21;38;42;36;73;68;47;78;75;23;30;51;22;35;43;22;23;30;35;36;43;47;51;68;73;75;78
10;13;37;17;34;34;14;30;27;6;44;32;13;59;62;40;45;42;14;6;13;14;27;30;32;40;42;44;45;59;62
12;38;8;48;21;29;11;19;21;14;39;67;29;26;32;8;51;74;56;8;14;19;21;26;29;32;39;51;56;67;74
46;8;22;19;35;18;24;62;50;56;42;23;21;55;27;42;37;37;24;21;23;24;27;37;37;42;42;50;55;56;62
42;25;30;19;5;43;39;33;70;78;26;54;49;24;59;66;19;47;45;19;24;26;33;45;47;49;54;59;66;70;78
20;1;13;22;1;11;31;7;24;31;-11;11;31;3;21;25;14;32;36;-11;3;7;11;14;21;24;25;31;31;32;36
46;29;39;16;28;9;19;58;52;65;56;18;28;53;36;41;24;10;15;10;15;18;24;28;36;41;52;53;56;58;65
27;38;15;46;19;40;27;30;54;52;37;73;49;32;48;42;62;84;53;30;32;37;42;48;49;52;53;54;62;73;84
34;41;11;4;47;7;41;72;24;71;69;36;78;48;6;42;38;2;37;2;6;24;36;37;38;42;48;69;71;72;78
1;18;48;27;10;13;29;-4;14;30;19;23;46;57;54;77;32;31;54;-4;14;19;23;30;31;32;46;54;54;57;77
26;41;11;10;28;5;21;46;25;33;51;43;51;26;6;14;36;2;14;2;6;14;14;25;26;33;36;43;46;51;51
7;45;31;5;23;22;37;26;11;37;53;60;63;37;51;58;13;14;41;11;13;14;26;37;37;41;51;53;58;60;63
17;8;15;2;28;13;21;25;15;37;27;18;10;36;14;32;11;-5;9;-5;9;10;11;14;15;18;25;27;32;36;37
41;10;19;32;13;24;40;48;62;69;11;30;32;24;36;49;43;36;65;11;24;30;32;36;36;43;48;49;62;65;69
29;15;44;16;18;38;44;33;49;71;26;38;50;44;72;73;21;50;46;21;26;33;38;44;46;49;50;50;71;72;73
4;33;24;31;17;26;7;11;15;7;50;41;25;39;35;17;44;56;18;7;11;15;17;18;25;35;39;41;44;50;56
38;22;27;10;15;47;48;39;77;69;23;56;66;24;67;63;22;45;54;22;23;24;39;45;54;56;63;66;67;69;77
7;42;0;36;33;29;4;26;16;-8;57;59;41;29;18;-16;60;52;38;-16;-8;16;18;26;29;38;41;52;57;59;60
20;19;39;10;5;37;24;7;56;34;17;41;25;29;66;43;3;40;21;3;7;17;21;25;29;34;40;41;43;56;66
22;38;4;27;36;19;6;47;25;11;71;45;26;27;18;1;56;28;19;1;11;18;19;25;26;27;28;45;47;56;71
10;26;22;12;9;19;34;18;22;33;30;26;41;25;27;46;13;27;29;13;18;22;25;26;27;27;29;30;33;41;46
21;43;26;44;15;3;27;34;7;29;38;43;59;40;9;34;50;44;62;7;9;29;34;34;38;40;43;44;50;59;62
32;48;28;42;5;44;27;22;58;48;36;86;59;30;57;47;32;84;57;22;30;32;36;47;48;57;57;58;59;84;86
14;37;21;14;47;24;14;55;20;18;81;48;44;50;41;30;51;34;14;14;18;20;30;34;41;44;48;50;51;55;81
1;13;21;8;26;34;47;26;18;39;32;47;54;28;46;53;29;24;42;18;24;26;28;29;32;39;42;46;47;53;54
35;0;2;47;34;44;12;60;65;28;27;30;9;25;33;-1;74;76;43;-1;9;25;27;28;30;33;43;60;65;74;76
33;6;44;29;31;14;11;55;33;41;17;19;4;75;41;52;51;28;34;4;17;19;28;33;34;41;41;51;52;55;75
39;24;38;37;16;36;14;51;70;41;34;48;28;49;73;51;41;62;39;28;34;39;41;41;48;49;51;51;62;70;73
23;33;25;23;32;40;11;46;60;16;45;73;25;51;56;27;46;48;24;16;24;25;27;45;46;46;48;51;56;60;73
49;26;48;45;7;41;16;42;89;46;16;51;26;43;77;58;50;84;45;16;26;42;43;45;46;50;51;58;77;84;89
44;3;14;0;19;25;40;59;69;76;16;28;33;32;35;42;8;21;39;8;16;21;28;32;33;35;39;42;59;69;76
9;24;47;42;30;47;26;38;46;15;46;69;48;71;85;71;72;69;52;15;38;46;46;48;52;69;69;71;71;72;85
9;42;39;12;38;24;12;39;25;9;60;59;50;76;45;40;40;22;21;9;21;22;25;39;40;40;45;50;59;60;76
22;32;10;39;19;42;3;28;47;7;37;55;21;20;46;-2;49;66;23;-2;7;20;21;23;28;37;46;47;49;55;66
28;49;26;31;31;47;30;54;58;57;65;96;75;46;71;53;60;69;60;46;53;54;57;58;60;60;65;69;71;75;96
46;47;19;38;7;44;25;39;83;53;54;89;52;21;54;43;35;63;58;21;35;39;43;52;53;54;54;58;63;83;89
14;28;0;40;45;35;6;39;49;6;56;43;15;28;22;-8;82;68;36;-8;6;15;22;28;36;39;43;49;56;68;82
27;48;37;7;9;17;35;24;42;62;41;57;72;44;36;59;-1;23;37;-1;23;24;36;37;41;42;44;57;59;62;72
13;28;29;23;44;44;27;57;37;29;72;56;50;56;71;47;60;56;34;29;34;37;47;50;56;56;56;57;60;71;72
16;5;36;7;38;39;38;53;37;46;33;41;39;69;60;65;32;32;45;32;32;33;37;39;41;45;46;53;60;65;69
34;6;3;37;6;46;38;38;67;71;2;39;28;-1;42;28;34;63;56;-1;2;28;28;34;38;39;42;56;63;67;71
43;2;4;20;3;45;34;27;77;76;3;27;26;0;41;23;8;54;40;0;3;8;23;26;27;27;40;41;54;76;77
20;40;4;16;47;16;21;66;36;36;73;45;56;39;1;10;44;28;37;1;10;28;36;36;37;39;44;45;56;66;73
16;32;48;48;32;25;29;37;28;41;46;49;56;66;68;74;63;66;69;28;37;41;46;49;56;63;66;66;68;69;74
46;24;6;48;18;15;35;62;46;64;33;33;54;12;19;31;47;47;63;12;19;31;33;33;46;47;47;54;62;63;64
7;42;28;38;36;22;41;41;17;39;65;47;77;64;30;59;64;45;77;17;30;39;41;45;47;59;64;64;65;77;77
14;32;35;24;17;20;37;31;21;41;34;44;68;45;49;69;28;40;46;21;28;31;34;40;41;44;45;46;49;68;69
22;38;6;0;24;42;32;41;50;50;50;77;67;15;48;22;12;30;15;12;15;15;22;30;41;48;50;50;50;67;77
1;45;27;40;6;5;12;-3;-8;12;46;49;38;28;16;37;30;43;40;-8;-3;12;16;28;30;37;38;40;43;46;49
37;40;13;43;46;36;21;66;66;39;76;67;45;40;42;34;83;75;63;34;39;40;42;45;63;66;66;67;75;76;83
44;14;23;4;28;41;14;71;80;57;33;49;15;43;46;21;17;38;13;13;15;17;21;33;38;43;46;49;57;71;80
42;24;34;19;35;32;36;65;68;77;53;44;47;68;64;57;50;43;51;43;44;47;50;51;53;57;64;65;68;68;77
31;9;5;2;38;43;37;56;69;59;46;37;35;29;41;29;27;38;32;27;29;29;32;35;37;38;41;46;56;59;69
14;11;48;43;8;13;12;7;10;14;13;20;7;48;56;60;39;37;36;7;7;10;13;14;20;36;37;39;48;56;60
26;15;4;35;45;25;28;51;35;52;50;23;31;44;15;24;79;52;60;15;23;24;31;35;44;50;51;52;52;60;79
33;49;29;7;45;34;18;70;56;48;80;75;60;73;50;39;36;41;22;22;36;39;41;48;50;56;60;70;73;75;80
49;24;23;29;35;0;1;74;35;32;51;17;20;54;10;7;50;17;25;7;10;17;17;20;25;32;35;50;51;54;74
18;11;12;14;26;8;17;33;17;16;34;2;18;35;19;18;29;19;11;2;11;16;17;18;18;19;19;29;33;34;35
17;41;49;22;48;20;42;64;24;45;75;43;74;77;59;74;63;30;59;24;30;43;45;59;59;63;64;74;74;75;77
19;24;9;33;44;25;48;51;44;62;68;42;70;40;32;48;68;40;61;32;40;40;42;44;48;51;61;62;68;68;70
37;36;45;33;33;37;35;68;74;57;68;56;66;68;74;70;63;54;61;54;56;57;61;63;66;68;68;68;70;74;74
43;27;20;35;45;19;2;88;45;34;63;46;17;54;31;15;74;36;17;15;17;17;31;34;36;45;46;54;63;74;88
19;8;9;6;36;44;11;45;44;18;27;35;9;43;50;3;22;41;10;3;9;10;18;22;27;35;41;43;44;45;50
34;1;19;41;28;22;16;58;51;31;16;17;4;39;36;21;58;58;57;4;16;17;21;31;36;39;51;57;58;58;58
24;48;8;47;2;4;28;24;16;44;41;47;59;2;0;35;30;48;61;0;2;16;24;30;35;41;44;47;48;59;61
24;31;34;48;37;12;10;52;27;16;67;24;24;63;44;29;69;57;45;16;24;24;27;29;44;45;52;57;63;67;69
31;42;46;11;0;7;36;24;19;51;36;43;66;43;53;76;11;0;47;0;11;19;24;36;43;43;47;51;53;66;76
42;48;45;8;26;17;37;60;55;71;54;61;75;61;61;76;34;15;37;15;34;37;54;55;60;61;61;61;71;75;76
38;43;12;28;11;12;9;36;38;46;47;52;33;3;22;3;29;39;37;3;3;22;29;33;36;37;38;39;46;47;52
